vial_id,sample_id,sample_type
S009063,millet,plant
S009007,SKME_001,plant
S009904,SKME_002,plant
S009037,SKME_003,plant
S009099,SKME_004,plant
S009016,SKME_005,plant
S008895,SKME_006,plant
S009001,SKME_007,plant
S009006,SKME_008,plant
S008897,SKME_009,plant
S009017,SKME_010,plant
S008870,SKME_011,plant
S009010,SKME_012,plant
S009013,SKME_013,plant
S009003,SKME_014,plant
S009027,SKME_015,plant
S008809,SKME_016,plant
S008885,SKME_017,plant
S008864,SKME_018,plant
S008818,SKME_019,plant
S009057,SKME_020,plant
S008874,SKME_021,plant
S009098,SKME_022,plant
S009011,SKME_023,plant
S009012,SKME_024,plant
S008866,SKME_025,plant
S009002,SKME_026,plant
S009089,SKME_027,plant
S008887,SKME_028,plant
S009005,SKME_029,plant
S009088,SKME_030,plant
S008876,SKME_031,plant
S008892,SKME_032,plant
S008880,SKME_033,plant
S009014,SKME_034,plant
S008893,SKME_035,plant
S009015,SKME_036,plant
S008867,SKME_037,plant
S008875,SKME_038,plant
S008877,SKME_039,plant
S008819,SKME_040,plant
S008886,SKME_041,plant
S008865,SKME_042,plant
S008882,SKME_043,plant
S009047,SKME_044,plant
S009000,SKME_045,plant
S008878,SKME_046,plant
S008828,SKME_047,plant
S009048,SKME_048,plant
S008868,SKME_049,plant
S008889,SKME_050,plant
S009008,SKME_051,plant
S008858,SKME_052,plant
S008859,SKME_053,plant
S008898,SKME_054,plant
S009009,SKME_055,plant
S008888,SKME_056,plant
S008849,SKME_057,plant
S009045,SKME_058,plant
S009028,SKME_059,plant
S009035,SKME_060,plant
S009018,SKME_061,plant
S008829,SKME_062,plant
S008848,SKME_063,plant
S009069,SKME_064,plant
S009029,SKME_065,plant
S009058,SKME_066,plant
S008879,SKME_067,plant
S009025,SKME_068,plant
S008869,SKME_069,plant
S009019,SKME_070,plant
S009068,SKME_071,plant
S008839,SKME_072,plant
S009059,SKME_073,plant
S008838,SKME_074,plant
S008896,SKME_075,plant
S009049,SKME_076,plant
S008843,SKME_077,plant
S008820,SKME_078,plant
S009038,SKME_079,plant
S009078,SKME_080,plant
S009039,SKME_081,plant
S009024,SKME_082,plant
S009056,SKME_083,plant
S008831,SKME_084,plant
S008852,SKME_085,plant
S008853,SKME_086,plant
S008823,SKME_087,plant
S009079,SKME_088,plant
S008840,SKME_089,plant
S008850,SKME_090,plant
S008851,SKME_091,plant
S008842,SKME_092,plant
S008841,SKME_093,plant
S008822,SKME_094,plant
S008830,SKME_095,plant
S008821,SKME_096,plant
S009046,SKME_097,plant
S009036,SKME_098,plant
S009034,SKME_099,plant
S009026,SKME_100,plant
S008833,SKME_101,plant
S008832,SKME_102,plant
S009044,SKME_103,plant
S009055,SKME_104,plant
S009054,SKME_105,plant
S009984,SKME_106,plant
S009993,SKME_107,plant
S009983,SKME_108,plant
S009978,SKME_109,plant
S009972,SKME_110,plant
S009992,SKME_112,plant
S009995,SKME_113,plant
S009982,SKME_114,plant
S009979,SKME_115,plant
S009989,SKME_116,plant
S009998,SKME_117,plant
S009977,SKME_118,plant
S009974,SKME_119,plant
S009996,SKME_120,plant
S009976,SKME_121,plant
S009991,SKME_122,plant
S009973,SKME_123,plant
S009971,SKME_124,plant
S009999,SKME_125,plant
S009987,SKME_126,plant
S009988,SKME_127,plant
S009990,SKME_128,plant
S012894,SKME_129,plant
S012892,SKME_130,plant
S012890,SKME_131,plant
S012893,SKME_132,plant
S012891,SKME_133,plant
S012880,SKME_134,plant
S012881,SKME_135,plant
