month,day,year,period,vial_barcode,plot,stake,species,sex,sample_type,PIT_tag,notes
9,15,2017,466,S013036,17,41,DM,M,trap,B267CC,
9,15,2017,466,S013025,17,12,PP,M,trap,B710B8,
9,15,2017,466,S013019,17,55,PP,F,trap,B2B1D4,
9,15,2017,466,S013027,17,77,PP,F,trap,B2C81F,
9,15,2017,466,S012859,17,74,PP,F,trap,B20213,
9,15,2017,466,S012805,17,27,PP,M,trap,B206ED,
9,15,2017,466,S012849,17,37,PP,M,trap,B2B393,
9,15,2017,466,S012869,17,34,DM,M,trap,B20631,
9,15,2017,466,S012878,17,24,DM,F,trap,B2CE4E,
9,15,2017,466,S012839,17,67,PP,F,trap,B2B49A,
9,15,2017,466,S012889,17,64,PP,F,trap,B2C9C8,
9,15,2017,466,S012858,17,61,DM,M,trap,B1F4E6,
