OTU,Domain,Clade1,Class,Order,Family,Genus,Species,WTU.domain,WTU.clade1,WTU.class,WTU.order,WTU.family,WTU.genus,WTU.species
OTU777,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU506,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU631,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU13,Eukaryota,Streptophyta,NA,Ericales,Polemoniaceae,Linanthus,Linanthus dichotomus,2,4,5,18,36,186,430
OTU720,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU645,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU831,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU655,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU634,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU744,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU592,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU310,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1010,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU622,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU837,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU887,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU867,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU872,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU635,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU576,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU935,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU644,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU640,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU707,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU791,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU596,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU79,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium cicutarium,2,4,5,22,43,214,548
OTU248,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU787,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU336,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU512,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU695,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU856,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU863,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia leptoclada,2,4,5,12,18,131,282
OTU81,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium cicutarium,2,4,5,22,43,214,548
OTU743,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU782,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium cicutarium,2,4,5,22,43,214,548
OTU739,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU433,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU880,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium cicutarium,2,4,5,22,43,214,548
OTU621,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU909,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU189,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU273,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU238,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces succiniciruminis,1,1,1,1,1,1,1
OTU161,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU667,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Gutierrezia,Gutierrezia wrightii,2,4,5,10,13,89,191
OTU751,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU938,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU245,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU305,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Gutierrezia,Gutierrezia wrightii,2,4,5,10,13,89,191
OTU311,NA,NA,NA,NA,NA,NA,synthetic construct,4,7,8,39,74,272,686
OTU450,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU1038,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Gutierrezia,Gutierrezia wrightii,2,4,5,10,13,89,191
OTU559,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii,1,3,3,3,3,3,3
OTU734,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU63,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU92,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU76,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU32,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Physaria,Physaria subumbellata,2,4,5,12,18,136,304
OTU229,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU159,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU216,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1445,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU188,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU508,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU595,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua aristidoides,2,4,4,7,10,26,55
OTU1110,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2023,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU1958,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU684,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU753,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU347,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1285,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1332,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU2580,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU251,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU614,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2768,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU802,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Zaluzania,Zaluzania megacephala,2,4,5,10,13,119,253
OTU867,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU3374,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU331,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU1730,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU384,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU741,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU997,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU460,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2981,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1197,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1242,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1493,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1310,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1249,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU4798,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU872,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU244,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1145,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU451,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU828,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU4179,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU2059,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU1135,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU2891,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU3159,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU491,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU176,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia farinosa,2,4,5,10,13,85,182
OTU1312,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU457,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU496,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1471,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU920,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU17660,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU929,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU1112,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Encelia,Encelia halimifolia,2,4,5,10,13,85,183
OTU7517,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU94,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3018,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1907,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2140,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1106,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1333,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2395,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2385,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU9123,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU3920,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU3593,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU14688,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1041,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1535,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU538,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2040,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Zaluzania,Zaluzania megacephala,2,4,5,10,13,119,253
OTU4551,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU4336,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1521,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1297,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU4611,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Iva,Iva xanthiifolia,2,4,5,10,13,95,209
OTU1984,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1704,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia deltoidea,2,4,5,10,13,75,166
OTU1819,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Iostephane,Iostephane madrensis,2,4,5,10,13,93,205
OTU803,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU3496,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU5717,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU6187,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU5788,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU6103,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia deltoidea,2,4,5,10,13,75,166
OTU12900,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU842,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU540,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1324,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1092,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1150,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1051,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1574,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU811,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1731,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU767,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU1759,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU143,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1161,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU476,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU768,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU3309,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU3157,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1185,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1427,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2248,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU887,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU2016,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU4776,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU2790,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU4140,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU619,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2957,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU8141,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU1925,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Monactis,Monactis pallatangensis,2,4,5,10,13,101,219
OTU2983,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU11514,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU9696,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
OTU7048,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU2386,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU14868,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum,2,4,4,7,10,55,122
OTU5396,Eukaryota,Streptophyta,NA,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia,2,4,5,10,13,75,164
