"WeeTU","Sample","Reads"
"16.WeeTU","S009097",634
"33.WeeTU","S009097",884
"297.WeeTU","S009097",3
"281.WeeTU","S009097",1
"497.WeeTU","S009097",6
"366.WeeTU","S009097",1
"420.WeeTU","S009097",1
"424.WeeTU","S009097",1
"361.WeeTU","S009097",1
"446.WeeTU","S009097",1
"434.WeeTU","S009097",2
"405.WeeTU","S009097",1
"556.WeeTU","S009097",1
"305.WeeTU","S009097",1
"380.WeeTU","S009097",1
"532.WeeTU","S009097",1
"872.WeeTU","S009097",1
"429.WeeTU","S009097",1
"609.WeeTU","S009097",1
"391.WeeTU","S009097",2
"433.WeeTU","S009097",3
"1.WeeTU","S009097",1721
"174.WeeTU","S009097",15
"781.WeeTU","S009097",5
"531.WeeTU","S009097",4
"343.WeeTU","S009097",1
"199.WeeTU","S009097",9
"41.WeeTU","S009097",350
"352.WeeTU","S009097",7
"2.WeeTU","S009097",213
"38.WeeTU","S009097",1
"319.WeeTU","S009097",1
"824.WeeTU","S009097",4
"310.WeeTU","S009097",16
"884.WeeTU","S009097",5
"17.WeeTU","S009096",2
"16.WeeTU","S009096",522
"33.WeeTU","S009096",131
"43.WeeTU","S009096",19
"28.WeeTU","S009096",34
"281.WeeTU","S009096",2
"632.WeeTU","S009096",1
"424.WeeTU","S009096",1
"361.WeeTU","S009096",2
"434.WeeTU","S009096",2
"305.WeeTU","S009096",2
"551.WeeTU","S009096",2
"465.WeeTU","S009096",1
"910.WeeTU","S009096",1
"523.WeeTU","S009096",1
"872.WeeTU","S009096",1
"325.WeeTU","S009096",1
"812.WeeTU","S009096",1
"433.WeeTU","S009096",1
"1.WeeTU","S009096",213
"101.WeeTU","S009096",15
"174.WeeTU","S009096",3
"781.WeeTU","S009096",1
"531.WeeTU","S009096",9
"199.WeeTU","S009096",1
"41.WeeTU","S009096",8
"259.WeeTU","S009096",3
"352.WeeTU","S009096",5
"2.WeeTU","S009096",1
"115.WeeTU","S009096",8
"17.WeeTU","S009095",1
"43.WeeTU","S009095",1
"104.WeeTU","S009095",28
"297.WeeTU","S009095",2
"281.WeeTU","S009095",5
"497.WeeTU","S009095",4
"366.WeeTU","S009095",1
"420.WeeTU","S009095",2
"339.WeeTU","S009095",2
"632.WeeTU","S009095",2
"361.WeeTU","S009095",4
"446.WeeTU","S009095",1
"434.WeeTU","S009095",2
"405.WeeTU","S009095",2
"94.WeeTU","S009095",136
"112.WeeTU","S009095",5
"551.WeeTU","S009095",1
"532.WeeTU","S009095",2
"910.WeeTU","S009095",1
"429.WeeTU","S009095",1
"812.WeeTU","S009095",1
"803.WeeTU","S009095",13
"588.WeeTU","S009095",6
"506.WeeTU","S009095",2
"1.WeeTU","S009095",3745
"531.WeeTU","S009095",4
"343.WeeTU","S009095",3
"199.WeeTU","S009095",2
"20.WeeTU","S009095",1513
"352.WeeTU","S009095",27
"2.WeeTU","S009095",7
"149.WeeTU","S009095",186
"475.WeeTU","S009095",130
"443.WeeTU","S009095",62
"547.WeeTU","S009095",3
"406.WeeTU","S009095",9
"152.WeeTU","S009095",39
"358.WeeTU","S009095",58
"438.WeeTU","S009095",116
"308.WeeTU","S009095",26
"580.WeeTU","S009095",17
"567.WeeTU","S009095",28
"470.WeeTU","S009095",24
"241.WeeTU","S009095",32
"867.WeeTU","S009095",4
"655.WeeTU","S009095",2
"886.WeeTU","S009095",3
"666.WeeTU","S009095",2
"9.WeeTU","S009090",1922
"29.WeeTU","S009090",526
"297.WeeTU","S009090",1
"281.WeeTU","S009090",4
"497.WeeTU","S009090",1
"366.WeeTU","S009090",2
"420.WeeTU","S009090",2
"339.WeeTU","S009090",4
"632.WeeTU","S009090",1
"671.WeeTU","S009090",1
"100.WeeTU","S009090",171
"434.WeeTU","S009090",2
"405.WeeTU","S009090",1
"305.WeeTU","S009090",1
"551.WeeTU","S009090",1
"532.WeeTU","S009090",1
"910.WeeTU","S009090",1
"570.WeeTU","S009090",62
"872.WeeTU","S009090",1
"301.WeeTU","S009090",48
"615.WeeTU","S009090",15
"817.WeeTU","S009090",4
"428.WeeTU","S009090",9
"686.WeeTU","S009090",4
"677.WeeTU","S009090",3
"1.WeeTU","S009090",2062
"531.WeeTU","S009090",2
"343.WeeTU","S009090",6
"199.WeeTU","S009090",2
"352.WeeTU","S009090",1
"2.WeeTU","S009090",2302
"367.WeeTU","S009090",7
"17.WeeTU","S009087",19
"7.WeeTU","S009087",92
"29.WeeTU","S009087",11
"297.WeeTU","S009087",3
"281.WeeTU","S009087",2
"497.WeeTU","S009087",1
"366.WeeTU","S009087",1
"420.WeeTU","S009087",2
"339.WeeTU","S009087",2
"446.WeeTU","S009087",1
"556.WeeTU","S009087",2
"305.WeeTU","S009087",1
"551.WeeTU","S009087",1
"872.WeeTU","S009087",2
"812.WeeTU","S009087",1
"1.WeeTU","S009087",184
"531.WeeTU","S009087",1
"343.WeeTU","S009087",7
"537.WeeTU","S009087",2
"11.WeeTU","S009087",701
"47.WeeTU","S009087",410
"60.WeeTU","S009087",2
"109.WeeTU","S009087",1
"115.WeeTU","S009087",3
"7.WeeTU","S009086",36
"297.WeeTU","S009086",4
"281.WeeTU","S009086",3
"497.WeeTU","S009086",2
"366.WeeTU","S009086",1
"420.WeeTU","S009086",1
"339.WeeTU","S009086",1
"632.WeeTU","S009086",3
"424.WeeTU","S009086",3
"671.WeeTU","S009086",1
"446.WeeTU","S009086",2
"434.WeeTU","S009086",1
"405.WeeTU","S009086",1
"122.WeeTU","S009086",2
"305.WeeTU","S009086",1
"417.WeeTU","S009086",3
"551.WeeTU","S009086",1
"465.WeeTU","S009086",1
"532.WeeTU","S009086",1
"910.WeeTU","S009086",1
"872.WeeTU","S009086",1
"429.WeeTU","S009086",1
"1.WeeTU","S009086",1054
"343.WeeTU","S009086",7
"20.WeeTU","S009086",1916
"41.WeeTU","S009086",15
"352.WeeTU","S009086",13
"149.WeeTU","S009086",69
"475.WeeTU","S009086",53
"443.WeeTU","S009086",1
"290.WeeTU","S009086",14
"358.WeeTU","S009086",28
"438.WeeTU","S009086",28
"580.WeeTU","S009086",1
"470.WeeTU","S009086",8
"241.WeeTU","S009086",10
"884.WeeTU","S009086",1
"377.WeeTU","S009086",2
"204.WeeTU","S009086",12
"33.WeeTU","S009085",282
"125.WeeTU","S009085",64
"297.WeeTU","S009085",1
"366.WeeTU","S009085",3
"420.WeeTU","S009085",1
"339.WeeTU","S009085",2
"632.WeeTU","S009085",1
"424.WeeTU","S009085",2
"671.WeeTU","S009085",2
"361.WeeTU","S009085",6
"405.WeeTU","S009085",1
"556.WeeTU","S009085",1
"551.WeeTU","S009085",1
"380.WeeTU","S009085",1
"465.WeeTU","S009085",1
"140.WeeTU","S009085",15
"872.WeeTU","S009085",1
"429.WeeTU","S009085",1
"1.WeeTU","S009085",2627
"174.WeeTU","S009085",7
"781.WeeTU","S009085",6
"352.WeeTU","S009085",1
"109.WeeTU","S009085",227
"144.WeeTU","S009085",53
"824.WeeTU","S009085",1
"7.WeeTU","S009084",109
"281.WeeTU","S009084",2
"497.WeeTU","S009084",3
"420.WeeTU","S009084",1
"339.WeeTU","S009084",2
"632.WeeTU","S009084",3
"424.WeeTU","S009084",1
"361.WeeTU","S009084",2
"446.WeeTU","S009084",1
"434.WeeTU","S009084",1
"305.WeeTU","S009084",2
"551.WeeTU","S009084",1
"380.WeeTU","S009084",1
"465.WeeTU","S009084",2
"523.WeeTU","S009084",1
"872.WeeTU","S009084",1
"1.WeeTU","S009084",13251
"343.WeeTU","S009084",14
"824.WeeTU","S009084",37
"453.WeeTU","S009084",11
"884.WeeTU","S009084",1
"691.WeeTU","S009084",2
"451.WeeTU","S009084",4
"447.WeeTU","S009084",5
"747.WeeTU","S009084",2
"17.WeeTU","S009077",2
"7.WeeTU","S009077",281
"29.WeeTU","S009077",26
"281.WeeTU","S009077",2
"497.WeeTU","S009077",1
"366.WeeTU","S009077",2
"420.WeeTU","S009077",4
"632.WeeTU","S009077",1
"424.WeeTU","S009077",3
"671.WeeTU","S009077",2
"446.WeeTU","S009077",1
"434.WeeTU","S009077",2
"405.WeeTU","S009077",1
"134.WeeTU","S009077",4
"417.WeeTU","S009077",1
"551.WeeTU","S009077",1
"465.WeeTU","S009077",1
"910.WeeTU","S009077",2
"208.WeeTU","S009077",1
"286.WeeTU","S009077",1
"1.WeeTU","S009077",297
"531.WeeTU","S009077",6
"343.WeeTU","S009077",12
"445.WeeTU","S009077",1
"41.WeeTU","S009077",5
"11.WeeTU","S009077",1929
"12.WeeTU","S009077",1
"47.WeeTU","S009077",189
"105.WeeTU","S009077",2
"115.WeeTU","S009077",1
"359.WeeTU","S009077",1
"326.WeeTU","S009077",1
"544.WeeTU","S009077",2
"17.WeeTU","S009076",81
"104.WeeTU","S009076",180
"297.WeeTU","S009076",2
"497.WeeTU","S009076",1
"117.WeeTU","S009076",3
"420.WeeTU","S009076",2
"632.WeeTU","S009076",5
"424.WeeTU","S009076",2
"671.WeeTU","S009076",1
"361.WeeTU","S009076",1
"434.WeeTU","S009076",2
"405.WeeTU","S009076",1
"556.WeeTU","S009076",3
"112.WeeTU","S009076",113
"417.WeeTU","S009076",1
"551.WeeTU","S009076",1
"465.WeeTU","S009076",1
"335.WeeTU","S009076",12
"1.WeeTU","S009076",1443
"531.WeeTU","S009076",2
"343.WeeTU","S009076",1
"20.WeeTU","S009076",135
"6.WeeTU","S009076",70
