"WeeTU","Sample","Reads"
"259.WeeTU","S009076",3
"2.WeeTU","S009076",135
"149.WeeTU","S009076",3
"443.WeeTU","S009076",8
"481.WeeTU","S009076",3
"672.WeeTU","S009076",1
"331.WeeTU","S009076",1
"547.WeeTU","S009076",6
"438.WeeTU","S009076",4
"863.WeeTU","S009076",1
"470.WeeTU","S009076",1
"241.WeeTU","S009076",1
"824.WeeTU","S009076",1
"376.WeeTU","S009076",1
"33.WeeTU","S009075",12
"297.WeeTU","S009075",3
"281.WeeTU","S009075",4
"366.WeeTU","S009075",2
"339.WeeTU","S009075",2
"424.WeeTU","S009075",1
"361.WeeTU","S009075",1
"446.WeeTU","S009075",2
"434.WeeTU","S009075",2
"556.WeeTU","S009075",1
"305.WeeTU","S009075",1
"417.WeeTU","S009075",2
"551.WeeTU","S009075",1
"380.WeeTU","S009075",1
"523.WeeTU","S009075",1
"872.WeeTU","S009075",1
"252.WeeTU","S009075",10
"1.WeeTU","S009075",1773
"781.WeeTU","S009075",1
"531.WeeTU","S009075",13
"20.WeeTU","S009075",256
"41.WeeTU","S009075",349
"259.WeeTU","S009075",25
"352.WeeTU","S009075",4
"2.WeeTU","S009075",35
"149.WeeTU","S009075",8
"475.WeeTU","S009075",30
"443.WeeTU","S009075",4
"115.WeeTU","S009075",118
"358.WeeTU","S009075",8
"438.WeeTU","S009075",11
"580.WeeTU","S009075",1
"470.WeeTU","S009075",4
"241.WeeTU","S009075",4
"297.WeeTU","S009074",2
"497.WeeTU","S009074",2
"366.WeeTU","S009074",2
"420.WeeTU","S009074",1
"632.WeeTU","S009074",2
"424.WeeTU","S009074",1
"361.WeeTU","S009074",1
"405.WeeTU","S009074",2
"556.WeeTU","S009074",1
"305.WeeTU","S009074",1
"551.WeeTU","S009074",1
"380.WeeTU","S009074",1
"872.WeeTU","S009074",1
"1.WeeTU","S009074",92
"531.WeeTU","S009074",1
"259.WeeTU","S009074",1
"115.WeeTU","S009074",5
"297.WeeTU","S009067",3
"281.WeeTU","S009067",3
"497.WeeTU","S009067",1
"420.WeeTU","S009067",1
"339.WeeTU","S009067",1
"632.WeeTU","S009067",5
"424.WeeTU","S009067",2
"671.WeeTU","S009067",1
"361.WeeTU","S009067",2
"446.WeeTU","S009067",2
"434.WeeTU","S009067",1
"405.WeeTU","S009067",1
"556.WeeTU","S009067",2
"96.WeeTU","S009067",127
"305.WeeTU","S009067",1
"872.WeeTU","S009067",1
"206.WeeTU","S009067",45
"138.WeeTU","S009067",37
"1.WeeTU","S009067",2
"5.WeeTU","S009067",1394
"698.WeeTU","S009067",261
"72.WeeTU","S009067",103
"808.WeeTU","S009067",24
"782.WeeTU","S009067",12
"815.WeeTU","S009067",2
"207.WeeTU","S009067",9
"694.WeeTU","S009067",32
"2.WeeTU","S009067",1292
"58.WeeTU","S009067",14
"78.WeeTU","S009067",6
"251.WeeTU","S009067",3
"293.WeeTU","S009067",1
"418.WeeTU","S009067",1
"820.WeeTU","S009067",1
"746.WeeTU","S009067",2
"33.WeeTU","S009066",14
"281.WeeTU","S009066",2
"497.WeeTU","S009066",2
"366.WeeTU","S009066",1
"420.WeeTU","S009066",3
"339.WeeTU","S009066",2
"632.WeeTU","S009066",1
"424.WeeTU","S009066",2
"671.WeeTU","S009066",2
"361.WeeTU","S009066",1
"446.WeeTU","S009066",1
"434.WeeTU","S009066",1
"405.WeeTU","S009066",3
"305.WeeTU","S009066",1
"465.WeeTU","S009066",1
"532.WeeTU","S009066",1
"872.WeeTU","S009066",1
"812.WeeTU","S009066",1
"1.WeeTU","S009066",2657
"174.WeeTU","S009066",2
"531.WeeTU","S009066",4
"2.WeeTU","S009066",14
"58.WeeTU","S009066",28
"78.WeeTU","S009066",72
"326.WeeTU","S009066",3
"451.WeeTU","S009066",1
"22.WeeTU","S009065",1
"297.WeeTU","S009065",1
"281.WeeTU","S009065",2
"497.WeeTU","S009065",3
"366.WeeTU","S009065",3
"420.WeeTU","S009065",1
"632.WeeTU","S009065",1
"424.WeeTU","S009065",2
"361.WeeTU","S009065",2
"556.WeeTU","S009065",2
"380.WeeTU","S009065",1
"532.WeeTU","S009065",3
"429.WeeTU","S009065",1
"609.WeeTU","S009065",1
"1.WeeTU","S009065",1
"5.WeeTU","S009065",2529
"698.WeeTU","S009065",358
"72.WeeTU","S009065",103
"808.WeeTU","S009065",54
"197.WeeTU","S009065",8
"254.WeeTU","S009065",4
"782.WeeTU","S009065",11
"786.WeeTU","S009065",2
"787.WeeTU","S009065",3
"883.WeeTU","S009065",2
"654.WeeTU","S009065",1
"815.WeeTU","S009065",3
"207.WeeTU","S009065",3
"690.WeeTU","S009065",1
"694.WeeTU","S009065",2
"2.WeeTU","S009065",260
"58.WeeTU","S009065",1
"210.WeeTU","S009065",2
"251.WeeTU","S009065",1
"293.WeeTU","S009065",1
"658.WeeTU","S009065",2
"33.WeeTU","S009064",6
"297.WeeTU","S009064",4
"281.WeeTU","S009064",2
"497.WeeTU","S009064",1
"366.WeeTU","S009064",1
"339.WeeTU","S009064",1
"424.WeeTU","S009064",2
"671.WeeTU","S009064",2
"361.WeeTU","S009064",2
"446.WeeTU","S009064",3
"434.WeeTU","S009064",3
"305.WeeTU","S009064",1
"551.WeeTU","S009064",2
"465.WeeTU","S009064",1
"140.WeeTU","S009064",63
"910.WeeTU","S009064",2
"523.WeeTU","S009064",1
"429.WeeTU","S009064",2
"805.WeeTU","S009064",7
"1.WeeTU","S009064",1321
"174.WeeTU","S009064",1
"531.WeeTU","S009064",10
"41.WeeTU","S009064",4
"11.WeeTU","S009064",934
"326.WeeTU","S009064",4
"444.WeeTU","S009064",2
"281.WeeTU","S009053",2
"497.WeeTU","S009053",1
"339.WeeTU","S009053",2
"424.WeeTU","S009053",1
"671.WeeTU","S009053",2
"361.WeeTU","S009053",1
"556.WeeTU","S009053",1
"305.WeeTU","S009053",1
"551.WeeTU","S009053",1
"872.WeeTU","S009053",1
"1.WeeTU","S009053",3616
"716.WeeTU","S009053",2
"43.WeeTU","S009052",353
"297.WeeTU","S009052",2
"281.WeeTU","S009052",1
"497.WeeTU","S009052",2
"366.WeeTU","S009052",1
"420.WeeTU","S009052",1
"339.WeeTU","S009052",1
"632.WeeTU","S009052",1
"671.WeeTU","S009052",1
"446.WeeTU","S009052",1
"405.WeeTU","S009052",1
"556.WeeTU","S009052",2
"305.WeeTU","S009052",1
"417.WeeTU","S009052",1
"551.WeeTU","S009052",2
"380.WeeTU","S009052",2
"532.WeeTU","S009052",2
"126.WeeTU","S009052",1
"872.WeeTU","S009052",1
"609.WeeTU","S009052",1
"154.WeeTU","S009052",7
"1.WeeTU","S009052",10
"20.WeeTU","S009052",667
"33.WeeTU","S009051",2
"69.WeeTU","S009051",181
"135.WeeTU","S009051",33
"98.WeeTU","S009051",20
"125.WeeTU","S009051",2
"297.WeeTU","S009051",1
"497.WeeTU","S009051",1
"420.WeeTU","S009051",1
"339.WeeTU","S009051",2
"632.WeeTU","S009051",2
"200.WeeTU","S009051",1
"424.WeeTU","S009051",1
"671.WeeTU","S009051",1
"405.WeeTU","S009051",3
"556.WeeTU","S009051",1
"417.WeeTU","S009051",2
"551.WeeTU","S009051",1
"532.WeeTU","S009051",1
"797.WeeTU","S009051",4
"323.WeeTU","S009051",1
"1.WeeTU","S009051",954
"174.WeeTU","S009051",30
"781.WeeTU","S009051",25
"20.WeeTU","S009051",14
"352.WeeTU","S009051",18
"149.WeeTU","S009051",4
"475.WeeTU","S009051",4
"406.WeeTU","S009051",2
"358.WeeTU","S009051",1
"438.WeeTU","S009051",4
"470.WeeTU","S009051",1
"194.WeeTU","S009051",14
"716.WeeTU","S009051",1
"4.WeeTU","S009050",7
"33.WeeTU","S009050",3
"43.WeeTU","S009050",18
"28.WeeTU","S009050",1487
"29.WeeTU","S009050",72
"67.WeeTU","S009050",2
"756.WeeTU","S009050",83
"297.WeeTU","S009050",1
"281.WeeTU","S009050",2
"497.WeeTU","S009050",1
"366.WeeTU","S009050",1
"671.WeeTU","S009050",1
"361.WeeTU","S009050",3
"434.WeeTU","S009050",2
"556.WeeTU","S009050",1
"380.WeeTU","S009050",1
"532.WeeTU","S009050",1
"145.WeeTU","S009050",1
"872.WeeTU","S009050",1
"609.WeeTU","S009050",1
"325.WeeTU","S009050",1
"638.WeeTU","S009050",2
"1.WeeTU","S009050",56
"343.WeeTU","S009050",3
"41.WeeTU","S009050",153
"5.WeeTU","S009050",15
"604.WeeTU","S009050",60
"2.WeeTU","S009050",6099
"12.WeeTU","S009050",1
"14.WeeTU","S009050",1
"458.WeeTU","S009050",34
"65.WeeTU","S009050",2
"481.WeeTU","S009050",230
"608.WeeTU","S009050",56
"295.WeeTU","S009050",63
"367.WeeTU","S009050",6
"115.WeeTU","S009050",1
"672.WeeTU","S009050",92
"825.WeeTU","S009050",2
"679.WeeTU","S009050",40
"891.WeeTU","S009050",21
"456.WeeTU","S009050",53
"331.WeeTU","S009050",73
"710.WeeTU","S009050",10
"319.WeeTU","S009050",82
"863.WeeTU","S009050",33
"210.WeeTU","S009050",32
"750.WeeTU","S009050",52
"693.WeeTU","S009050",30
"631.WeeTU","S009050",27
"675.WeeTU","S009050",40
"520.WeeTU","S009050",30
"251.WeeTU","S009050",2
"376.WeeTU","S009050",61
"412.WeeTU","S009050",11
"293.WeeTU","S009050",1
"722.WeeTU","S009050",7
"853.WeeTU","S009050",4
"613.WeeTU","S009050",2
"901.WeeTU","S009050",2
"418.WeeTU","S009050",1
"791.WeeTU","S009050",2
"626.WeeTU","S009050",2
"897.WeeTU","S009050",2
"541.WeeTU","S009050",2
"33.WeeTU","S009043",2
"69.WeeTU","S009043",25
"135.WeeTU","S009043",3
"98.WeeTU","S009043",14
"297.WeeTU","S009043",3
"281.WeeTU","S009043",3
"497.WeeTU","S009043",3
"366.WeeTU","S009043",3
"420.WeeTU","S009043",3
"339.WeeTU","S009043",2
"632.WeeTU","S009043",1
"200.WeeTU","S009043",1
"424.WeeTU","S009043",1
"671.WeeTU","S009043",1
"361.WeeTU","S009043",1
"446.WeeTU","S009043",1
"434.WeeTU","S009043",2
"122.WeeTU","S009043",2
"305.WeeTU","S009043",2
"417.WeeTU","S009043",3
"380.WeeTU","S009043",1
"465.WeeTU","S009043",1
"532.WeeTU","S009043",1
"523.WeeTU","S009043",1
"872.WeeTU","S009043",1
"429.WeeTU","S009043",1
"624.WeeTU","S009043",5
"1.WeeTU","S009043",464
"174.WeeTU","S009043",3
"781.WeeTU","S009043",3
"20.WeeTU","S009043",1594
"352.WeeTU","S009043",9
"149.WeeTU","S009043",61
"475.WeeTU","S009043",37
"406.WeeTU","S009043",1
"358.WeeTU","S009043",16
"438.WeeTU","S009043",20
"470.WeeTU","S009043",5
"241.WeeTU","S009043",5
"824.WeeTU","S009043",1
"281.WeeTU","S009042",1
"366.WeeTU","S009042",1
"434.WeeTU","S009042",2
"305.WeeTU","S009042",1
"417.WeeTU","S009042",2
"380.WeeTU","S009042",1
"1.WeeTU","S009042",879
"69.WeeTU","S009041",298
"135.WeeTU","S009041",44
"98.WeeTU","S009041",65
"297.WeeTU","S009041",1
"497.WeeTU","S009041",1
"366.WeeTU","S009041",3
"339.WeeTU","S009041",3
"632.WeeTU","S009041",1
"424.WeeTU","S009041",1
"910.WeeTU","S009041",1
"797.WeeTU","S009041",3
"1.WeeTU","S009041",1272
"174.WeeTU","S009041",22
"781.WeeTU","S009041",18
"531.WeeTU","S009041",1
"20.WeeTU","S009041",639
"352.WeeTU","S009041",12
"149.WeeTU","S009041",27
"475.WeeTU","S009041",29
"443.WeeTU","S009041",1
"406.WeeTU","S009041",17
"358.WeeTU","S009041",14
"438.WeeTU","S009041",19
"864.WeeTU","S009041",2
"470.WeeTU","S009041",2
"241.WeeTU","S009041",5
"824.WeeTU","S009041",2
"850.WeeTU","S009041",2
"884.WeeTU","S009041",1
"688.WeeTU","S009041",2
"7.WeeTU","S009040",1
"43.WeeTU","S009040",1
"28.WeeTU","S009040",7
"29.WeeTU","S009040",16
"69.WeeTU","S009040",2
"135.WeeTU","S009040",3
"125.WeeTU","S009040",4
"297.WeeTU","S009040",2
"281.WeeTU","S009040",2
"497.WeeTU","S009040",2
"420.WeeTU","S009040",1
"632.WeeTU","S009040",1
"200.WeeTU","S009040",1
"424.WeeTU","S009040",1
"361.WeeTU","S009040",2
"434.WeeTU","S009040",1
"305.WeeTU","S009040",1
"551.WeeTU","S009040",1
"872.WeeTU","S009040",1
"812.WeeTU","S009040",1
"893.WeeTU","S009040",4
"1.WeeTU","S009040",1026
"174.WeeTU","S009040",3
"781.WeeTU","S009040",2
"531.WeeTU","S009040",10
"343.WeeTU","S009040",5
"20.WeeTU","S009040",12
"41.WeeTU","S009040",16
"6.WeeTU","S009040",12
"259.WeeTU","S009040",29
"2.WeeTU","S009040",474
"149.WeeTU","S009040",2
"38.WeeTU","S009040",4
"367.WeeTU","S009040",5
"115.WeeTU","S009040",123
"438.WeeTU","S009040",1
"241.WeeTU","S009040",1
"726.WeeTU","S009040",2
"9.WeeTU","S009033",333
"7.WeeTU","S009033",4050
"98.WeeTU","S009033",103
"297.WeeTU","S009033",3
"281.WeeTU","S009033",4
"497.WeeTU","S009033",3
"366.WeeTU","S009033",2
"420.WeeTU","S009033",1
"424.WeeTU","S009033",2
"671.WeeTU","S009033",1
"361.WeeTU","S009033",2
"446.WeeTU","S009033",1
"556.WeeTU","S009033",2
"305.WeeTU","S009033",2
"523.WeeTU","S009033",2
"872.WeeTU","S009033",1
"429.WeeTU","S009033",1
"609.WeeTU","S009033",1
"226.WeeTU","S009033",28
"812.WeeTU","S009033",1
"227.WeeTU","S009033",11
"1.WeeTU","S009033",769
"781.WeeTU","S009033",1
"531.WeeTU","S009033",1
"343.WeeTU","S009033",50
"445.WeeTU","S009033",8
"41.WeeTU","S009033",42
"33.WeeTU","S009032",20
"28.WeeTU","S009032",3
"297.WeeTU","S009032",2
"497.WeeTU","S009032",4
"366.WeeTU","S009032",1
"632.WeeTU","S009032",1
"671.WeeTU","S009032",1
"446.WeeTU","S009032",1
"434.WeeTU","S009032",2
"305.WeeTU","S009032",1
"417.WeeTU","S009032",2
"380.WeeTU","S009032",1
"465.WeeTU","S009032",2
"1.WeeTU","S009032",271
"531.WeeTU","S009032",9
"41.WeeTU","S009032",9
"6.WeeTU","S009032",1
"259.WeeTU","S009032",5
"2.WeeTU","S009032",6
"11.WeeTU","S009032",14
"14.WeeTU","S009032",4
"481.WeeTU","S009032",1
"115.WeeTU","S009032",66
"750.WeeTU","S009032",1
"722.WeeTU","S009032",1
"43.WeeTU","S009030",603
"756.WeeTU","S009030",875
"297.WeeTU","S009030",2
"281.WeeTU","S009030",1
"497.WeeTU","S009030",1
"420.WeeTU","S009030",1
"339.WeeTU","S009030",1
"632.WeeTU","S009030",1
"671.WeeTU","S009030",1
"361.WeeTU","S009030",1
"446.WeeTU","S009030",2
"405.WeeTU","S009030",1
"556.WeeTU","S009030",3
"305.WeeTU","S009030",1
"551.WeeTU","S009030",1
"380.WeeTU","S009030",1
"532.WeeTU","S009030",1
"910.WeeTU","S009030",1
"145.WeeTU","S009030",21
"774.WeeTU","S009030",5
"759.WeeTU","S009030",2
"1.WeeTU","S009030",1214
"101.WeeTU","S009030",16
"531.WeeTU","S009030",8
"199.WeeTU","S009030",14
"41.WeeTU","S009030",4
"2.WeeTU","S009030",321
"367.WeeTU","S009030",1
"139.WeeTU","S009030",36
"631.WeeTU","S009030",8
"732.WeeTU","S009030",2
"281.WeeTU","S009023",1
"497.WeeTU","S009023",2
"366.WeeTU","S009023",1
"420.WeeTU","S009023",3
"339.WeeTU","S009023",3
"632.WeeTU","S009023",1
"424.WeeTU","S009023",1
"671.WeeTU","S009023",1
"361.WeeTU","S009023",2
"446.WeeTU","S009023",2
"405.WeeTU","S009023",1
"556.WeeTU","S009023",1
"417.WeeTU","S009023",1
"551.WeeTU","S009023",1
"380.WeeTU","S009023",2
"465.WeeTU","S009023",1
"523.WeeTU","S009023",1
"1.WeeTU","S009023",4092
"824.WeeTU","S009023",1
"451.WeeTU","S009023",1
"33.WeeTU","S009022",29
"297.WeeTU","S009022",1
"281.WeeTU","S009022",2
"497.WeeTU","S009022",3
"366.WeeTU","S009022",3
"420.WeeTU","S009022",2
"339.WeeTU","S009022",2
"424.WeeTU","S009022",2
"671.WeeTU","S009022",1
"446.WeeTU","S009022",1
"556.WeeTU","S009022",2
"305.WeeTU","S009022",2
"380.WeeTU","S009022",1
"532.WeeTU","S009022",1
"429.WeeTU","S009022",2
"1.WeeTU","S009022",2115
"781.WeeTU","S009022",1
"531.WeeTU","S009022",1
"343.WeeTU","S009022",1
"352.WeeTU","S009022",1
"105.WeeTU","S009022",2
"78.WeeTU","S009022",14
"139.WeeTU","S009022",2
"326.WeeTU","S009022",1
"7.WeeTU","S009021",366
"281.WeeTU","S009021",1
"497.WeeTU","S009021",1
"366.WeeTU","S009021",1
"632.WeeTU","S009021",1
"424.WeeTU","S009021",3
"671.WeeTU","S009021",1
"361.WeeTU","S009021",1
"434.WeeTU","S009021",1
"405.WeeTU","S009021",1
"556.WeeTU","S009021",2
"305.WeeTU","S009021",1
"380.WeeTU","S009021",2
"465.WeeTU","S009021",1
"910.WeeTU","S009021",1
"429.WeeTU","S009021",1
"286.WeeTU","S009021",4
"1.WeeTU","S009021",1165
"343.WeeTU","S009021",49
"537.WeeTU","S009021",7
"445.WeeTU","S009021",3
"115.WeeTU","S009021",1
"824.WeeTU","S009021",1
"7.WeeTU","S009020",7
"1.WeeTU","S009020",7
"497.WeeTU","S009004",1
"420.WeeTU","S009004",2
"339.WeeTU","S009004",1
"632.WeeTU","S009004",2
"671.WeeTU","S009004",2
"434.WeeTU","S009004",1
"405.WeeTU","S009004",2
"305.WeeTU","S009004",1
"417.WeeTU","S009004",2
"465.WeeTU","S009004",2
"910.WeeTU","S009004",1
"429.WeeTU","S009004",1
"160.WeeTU","S009004",35
"7.WeeTU","S008857",874
"297.WeeTU","S008857",1
"281.WeeTU","S008857",1
"497.WeeTU","S008857",5
"420.WeeTU","S008857",2
"339.WeeTU","S008857",6
"632.WeeTU","S008857",2
"424.WeeTU","S008857",1
"671.WeeTU","S008857",1
"361.WeeTU","S008857",2
"446.WeeTU","S008857",2
"434.WeeTU","S008857",1
"405.WeeTU","S008857",1
"556.WeeTU","S008857",1
