"OTU.ID","Sample","Reads"
"OTU16","S009097",634
"OTU33","S009097",884
"OTU297","S009097",3
"OTU281","S009097",1
"OTU497","S009097",6
"OTU366","S009097",1
"OTU420","S009097",1
"OTU424","S009097",1
"OTU361","S009097",1
"OTU446","S009097",1
"OTU434","S009097",2
"OTU405","S009097",1
"OTU556","S009097",1
"OTU305","S009097",1
"OTU380","S009097",1
"OTU532","S009097",1
"OTU872","S009097",1
"OTU429","S009097",1
"OTU609","S009097",1
"OTU391","S009097",2
"OTU433","S009097",3
"OTU1","S009097",1721
"OTU174","S009097",15
"OTU781","S009097",5
"OTU531","S009097",4
"OTU343","S009097",1
"OTU199","S009097",9
"OTU41","S009097",350
"OTU352","S009097",7
"OTU2","S009097",213
"OTU38","S009097",1
"OTU319","S009097",1
"OTU824","S009097",4
"OTU310","S009097",16
"OTU884","S009097",5
"OTU17","S009096",2
"OTU16","S009096",522
"OTU33","S009096",131
"OTU43","S009096",19
"OTU28","S009096",34
"OTU281","S009096",2
"OTU632","S009096",1
"OTU424","S009096",1
"OTU361","S009096",2
"OTU434","S009096",2
"OTU305","S009096",2
"OTU551","S009096",2
"OTU465","S009096",1
"OTU910","S009096",1
"OTU523","S009096",1
"OTU872","S009096",1
"OTU325","S009096",1
"OTU812","S009096",1
"OTU433","S009096",1
"OTU1","S009096",213
"OTU101","S009096",15
"OTU174","S009096",3
"OTU781","S009096",1
"OTU531","S009096",9
"OTU199","S009096",1
"OTU41","S009096",8
"OTU259","S009096",3
"OTU352","S009096",5
"OTU2","S009096",1
"OTU115","S009096",8
"OTU17","S009095",1
"OTU43","S009095",1
"OTU104","S009095",28
"OTU297","S009095",2
"OTU281","S009095",5
"OTU497","S009095",4
"OTU366","S009095",1
"OTU420","S009095",2
"OTU339","S009095",2
"OTU632","S009095",2
"OTU361","S009095",4
"OTU446","S009095",1
"OTU434","S009095",2
"OTU405","S009095",2
"OTU94","S009095",136
"OTU112","S009095",5
"OTU551","S009095",1
"OTU532","S009095",2
"OTU910","S009095",1
"OTU429","S009095",1
"OTU812","S009095",1
"OTU803","S009095",13
"OTU588","S009095",6
"OTU506","S009095",2
"OTU1","S009095",3745
"OTU531","S009095",4
"OTU343","S009095",3
"OTU199","S009095",2
"OTU20","S009095",1513
"OTU352","S009095",27
"OTU2","S009095",7
"OTU149","S009095",186
"OTU475","S009095",130
"OTU443","S009095",62
"OTU547","S009095",3
"OTU406","S009095",9
"OTU152","S009095",39
"OTU358","S009095",58
"OTU438","S009095",116
"OTU308","S009095",26
"OTU580","S009095",17
"OTU567","S009095",28
"OTU470","S009095",24
"OTU241","S009095",32
"OTU867","S009095",4
"OTU655","S009095",2
"OTU886","S009095",3
"OTU666","S009095",2
"OTU9","S009090",1922
"OTU29","S009090",526
"OTU297","S009090",1
"OTU281","S009090",4
"OTU497","S009090",1
"OTU366","S009090",2
"OTU420","S009090",2
"OTU339","S009090",4
"OTU632","S009090",1
"OTU671","S009090",1
"OTU100","S009090",171
"OTU434","S009090",2
"OTU405","S009090",1
"OTU305","S009090",1
"OTU551","S009090",1
"OTU532","S009090",1
"OTU910","S009090",1
"OTU570","S009090",62
"OTU872","S009090",1
"OTU301","S009090",48
"OTU615","S009090",15
"OTU817","S009090",4
"OTU428","S009090",9
"OTU686","S009090",4
"OTU677","S009090",3
"OTU1","S009090",2062
"OTU531","S009090",2
"OTU343","S009090",6
"OTU199","S009090",2
"OTU352","S009090",1
"OTU2","S009090",2302
"OTU367","S009090",7
"OTU17","S009087",19
"OTU7","S009087",92
"OTU29","S009087",11
"OTU297","S009087",3
"OTU281","S009087",2
"OTU497","S009087",1
"OTU366","S009087",1
"OTU420","S009087",2
"OTU339","S009087",2
"OTU446","S009087",1
"OTU556","S009087",2
"OTU305","S009087",1
"OTU551","S009087",1
"OTU872","S009087",2
"OTU812","S009087",1
"OTU1","S009087",184
"OTU531","S009087",1
"OTU343","S009087",7
"OTU537","S009087",2
"OTU11","S009087",701
"OTU47","S009087",410
"OTU60","S009087",2
"OTU109","S009087",1
"OTU115","S009087",3
"OTU7","S009086",36
"OTU297","S009086",4
"OTU281","S009086",3
"OTU497","S009086",2
"OTU366","S009086",1
"OTU420","S009086",1
"OTU339","S009086",1
"OTU632","S009086",3
"OTU424","S009086",3
"OTU671","S009086",1
"OTU446","S009086",2
"OTU434","S009086",1
"OTU405","S009086",1
"OTU122","S009086",2
"OTU305","S009086",1
"OTU417","S009086",3
"OTU551","S009086",1
"OTU465","S009086",1
"OTU532","S009086",1
"OTU910","S009086",1
"OTU872","S009086",1
"OTU429","S009086",1
"OTU1","S009086",1054
"OTU343","S009086",7
"OTU20","S009086",1916
"OTU41","S009086",15
"OTU352","S009086",13
"OTU149","S009086",69
"OTU475","S009086",53
"OTU443","S009086",1
"OTU290","S009086",14
"OTU358","S009086",28
"OTU438","S009086",28
"OTU580","S009086",1
"OTU470","S009086",8
"OTU241","S009086",10
"OTU884","S009086",1
"OTU377","S009086",2
"OTU204","S009086",12
"OTU33","S009085",282
"OTU125","S009085",64
"OTU297","S009085",1
"OTU366","S009085",3
"OTU420","S009085",1
"OTU339","S009085",2
"OTU632","S009085",1
"OTU424","S009085",2
"OTU671","S009085",2
"OTU361","S009085",6
"OTU405","S009085",1
"OTU556","S009085",1
"OTU551","S009085",1
"OTU380","S009085",1
"OTU465","S009085",1
"OTU140","S009085",15
"OTU872","S009085",1
"OTU429","S009085",1
"OTU1","S009085",2627
"OTU174","S009085",7
"OTU781","S009085",6
"OTU352","S009085",1
"OTU109","S009085",227
"OTU144","S009085",53
"OTU824","S009085",1
"OTU7","S009084",109
"OTU281","S009084",2
"OTU497","S009084",3
"OTU420","S009084",1
"OTU339","S009084",2
"OTU632","S009084",3
"OTU424","S009084",1
"OTU361","S009084",2
"OTU446","S009084",1
"OTU434","S009084",1
"OTU305","S009084",2
"OTU551","S009084",1
"OTU380","S009084",1
"OTU465","S009084",2
"OTU523","S009084",1
"OTU872","S009084",1
"OTU1","S009084",13251
"OTU343","S009084",14
"OTU824","S009084",37
"OTU453","S009084",11
"OTU884","S009084",1
"OTU691","S009084",2
"OTU451","S009084",4
"OTU447","S009084",5
"OTU747","S009084",2
"OTU17","S009077",2
"OTU7","S009077",281
"OTU29","S009077",26
"OTU281","S009077",2
"OTU497","S009077",1
"OTU366","S009077",2
"OTU420","S009077",4
"OTU632","S009077",1
"OTU424","S009077",3
"OTU671","S009077",2
"OTU446","S009077",1
"OTU434","S009077",2
"OTU405","S009077",1
"OTU134","S009077",4
"OTU417","S009077",1
"OTU551","S009077",1
"OTU465","S009077",1
"OTU910","S009077",2
"OTU208","S009077",1
"OTU286","S009077",1
"OTU1","S009077",297
"OTU531","S009077",6
"OTU343","S009077",12
"OTU445","S009077",1
"OTU41","S009077",5
