OTU,Kingdom,Clade1,Clade2,Order,Family,Subfamily,Genus,Species,WTU.kingdom,WTU.clade1,WTU.clade2,WTU.order,WTU.family,WTU.subfamily,WTU.genus,WTU.species
OTU150,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,NA,NA,NA,1,1,4,20,54,83,511,867
OTU1447,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU666,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,NA,1,1,10,34,77,109,694,1263
OTU1370,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,NA,1,1,10,34,77,109,694,1263
OTU52261,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_alba,1,1,10,34,77,109,694,1248
OTU2961,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Trifolium,NA,1,1,10,33,72,103,678,1215
OTU80767,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_polycarpa,1,1,10,34,77,109,694,1257
OTU97283,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Digitaria,Digitaria_ischaemum,1,1,4,20,54,81,432,685
OTU98641,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Trifolium,Trifolium_campestre,1,1,10,33,72,103,678,1210
OTU46850,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,Physaria,Physaria_fendleri,1,1,10,30,68,97,570,986
OTU181,Viridiplantae,Streptophyta,Pinidae,Pinales,Pinaceae,NA,Pinus,NA,1,1,8,28,66,95,535,917
OTU16679,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU83482,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_pubescens,1,1,10,34,77,109,694,1258
OTU3071,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU95775,Viridiplantae,Streptophyta,asterids,Cornales,Loasaceae,NA,Mentzelia,Mentzelia_oreophila,1,1,1,5,17,25,211,306
OTU55764,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_oblita,1,1,4,20,54,81,477,793
OTU107130,Viridiplantae,Streptophyta,commelinids,Commelinales,Commelinaceae,NA,Commelina,Commelina_erecta,1,1,4,19,50,71,355,512
OTU51283,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Danthonioideae,Danthonia,Danthonia_decumbens,1,1,4,20,54,79,413,646
OTU763,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU35442,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_racemosus,1,1,4,20,54,78,404,634
OTU2711,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,NA,Symphoricarpos,NA,1,1,1,6,19,27,214,313
OTU47726,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Panicum,Panicum_racemosum,1,1,4,20,54,81,462,744
OTU409,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,NA,1,1,4,20,54,81,464,760
OTU71015,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Garnotia,Garnotia_tenella,1,1,4,20,54,81,437,699
OTU49692,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Orcuttia,Orcuttia_pilosa,1,1,4,20,54,78,397,620
OTU1439,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU67423,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Saccharum,Saccharum_spontaneum,1,1,4,20,54,81,466,763
OTU51335,Viridiplantae,Streptophyta,rosids,Sapindales,Aceraceae,NA,Acer,Acer_stachyophyllum,1,1,10,41,99,140,773,1400
OTU1519,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Chrysopogon,NA,1,1,4,20,54,81,430,680
OTU2109,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Castanopsis,Castanopsis_carlesii,1,1,10,34,77,109,691,1237
OTU80517,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Mnesithea,Mnesithea_formosa,1,1,4,20,54,81,454,729
OTU13264,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,NA,Salix,NA,1,1,10,36,85,119,716,1305
OTU10790,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,Pachycladon,NA,1,1,10,30,68,97,568,983
OTU2677,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU55884,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,Erysimum,Erysimum_cheiri,1,1,10,30,68,97,557,964
OTU88760,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU64126,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_venosa,1,1,4,20,54,81,477,794
OTU2259,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,NA,NA,1,1,4,20,54,78,409,640
OTU4186,Viridiplantae,Streptophyta,Pinidae,Pinales,Pinaceae,NA,Pinus,NA,1,1,8,28,66,95,535,917
OTU13174,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU86656,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU40671,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,NA,Symphoricarpos,Symphoricarpos_occidentalis,1,1,1,6,19,27,214,312
OTU63,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,NA,NA,1,1,10,34,77,109,695,1264
OTU1072,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Echinochloa,NA,1,1,4,20,54,81,433,692
OTU93243,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Cenchrus,Cenchrus_macrourus,1,1,4,20,54,81,429,673
OTU76837,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU8807,Viridiplantae,Streptophyta,Pinidae,Pinales,Pinaceae,NA,Pinus,NA,1,1,8,28,66,95,535,917
OTU52909,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_robur,1,1,10,34,77,109,694,1259
OTU42595,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Senna,Senna_gardneri,1,1,10,33,72,101,615,1052
OTU84120,Viridiplantae,Streptophyta,asterids,Cornales,Loasaceae,NA,Mentzelia,Mentzelia_pterosperma,1,1,1,5,17,25,211,307
OTU97703,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Scleropogon,Scleropogon_brevifolius,1,1,4,20,54,78,401,625
OTU18620,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Megathyrsus,Megathyrsus_maximus,1,1,4,20,54,81,450,720
OTU65409,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU37026,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Blepharidachne,Blepharidachne_kingii,1,1,4,20,54,78,374,552
OTU59432,Viridiplantae,Streptophyta,asterids,Dipsacales,Caprifoliaceae,NA,Symphoricarpos,Symphoricarpos_occidentalis,1,1,1,6,19,27,214,312
OTU53052,Viridiplantae,Streptophyta,commelinids,Commelinales,Commelinaceae,NA,Commelina,Commelina_reptans,1,1,4,19,50,71,355,513
OTU1268,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,NA,NA,1,1,10,30,68,97,588,1010
OTU65165,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_chrysolepis,1,1,10,34,77,109,694,1250
OTU6501,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
