OTU,Kingdom,Clade1,Clade2,Order,Family,Subfamily,Genus,Species,WTU.kingdom,WTU.clade1,WTU.clade2,WTU.order,WTU.family,WTU.subfamily,WTU.genus,WTU.species
OTU54046,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Ophiuros,Ophiuros_exaltatus,1,1,4,20,54,81,459,735
OTU39053,Viridiplantae,Streptophyta,rosids,Malpighiales,Salicaceae,NA,Salix,Salix_caprea,1,1,10,36,85,119,716,1303
OTU38116,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,Quercus_suber,1,1,10,34,77,109,694,1262
OTU85569,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU5539,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Distichlis,NA,1,1,4,20,54,78,385,578
OTU15064,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU956,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,NA,NA,NA,1,1,10,33,72,104,682,1222
OTU79531,Viridiplantae,Streptophyta,Pinidae,Pinales,Pinaceae,NA,Pinus,Pinus_mugo,1,1,8,28,66,95,535,913
OTU47832,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_berteronianus,1,1,4,20,54,78,404,632
OTU53045,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Thyridolepis,Thyridolepis_mitchelliana,1,1,4,20,54,81,475,784
OTU101170,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Gynerium,Gynerium_sagittatum,1,1,4,20,54,81,439,703
OTU23611,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Arundinella,NA,1,1,4,20,54,81,425,660
OTU93436,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,Paspalum_erianthum,1,1,4,20,54,81,464,753
OTU2866,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,NA,NA,1,1,10,34,77,109,695,1264
OTU1790,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Echinochloa,NA,1,1,4,20,54,81,433,692
OTU84831,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Microstegium,Microstegium_fasciculatum,1,1,4,20,54,81,452,723
OTU17328,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Rupichloa,NA,1,1,4,20,54,81,465,762
OTU14526,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU13118,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU102577,Viridiplantae,Streptophyta,asterids,Cornales,Loasaceae,NA,Mentzelia,Mentzelia_nuda,1,1,1,5,17,25,211,305
OTU11951,Viridiplantae,Streptophyta,asterids,Boraginales,Cordiaceae,NA,Cordia,NA,1,1,1,4,10,17,193,277
OTU16629,Viridiplantae,Streptophyta,asterids,Boraginales,Boraginaceae,NA,Cryptantha,NA,1,1,1,4,9,16,181,250
OTU21728,Viridiplantae,Streptophyta,asterids,Lamiales,Plantaginaceae,NA,Plantago,NA,1,1,1,9,34,49,278,401
OTU78221,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Chamaecrista,Chamaecrista_desvauxii,1,1,10,33,72,101,599,1023
OTU12636,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Prosopis,NA,1,1,10,33,72,102,644,1121
OTU69806,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,Paspalum_notatum,1,1,4,20,54,81,464,756
OTU35213,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Glyphochloa,Glyphochloa_santapaui,1,1,4,20,54,81,438,700
OTU8497,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Bouteloua,NA,1,1,4,20,54,78,375,560
OTU12916,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Panicum,NA,1,1,4,20,54,81,462,746
OTU776,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU54330,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Ottochloa,Ottochloa_nodosa,1,1,4,20,54,81,461,738
OTU4375,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Setaria,NA,1,1,4,20,54,81,469,776
OTU5570,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU20785,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU38683,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Apluda,Apluda_mutica,1,1,4,20,54,81,422,657
OTU9489,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pseudopiptadenia,NA,1,1,10,33,72,102,645,1122
OTU87252,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_racemosus,1,1,4,20,54,78,404,634
OTU12298,Viridiplantae,Streptophyta,asterids,Cornales,Loasaceae,NA,Mentzelia,NA,1,1,1,5,17,25,211,308
OTU53175,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU77105,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Yakirra,Yakirra_pauciflora,1,1,4,20,54,81,478,796
OTU40055,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Panicum,Panicum_capillare,1,1,4,20,54,81,462,740
OTU1123,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU37464,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pentaclethra,Pentaclethra_macrophylla,1,1,10,33,72,102,639,1110
OTU100546,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Hyparrhenia,Hyparrhenia_diplandra,1,1,4,20,54,81,444,710
OTU35334,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Sohnsia,Sohnsia_filifolia,1,1,4,20,54,78,402,626
OTU43743,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Homopholis,Homopholis_belsonii,1,1,4,20,54,81,442,708
OTU38397,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_malacodes,1,1,4,20,54,81,455,731
OTU73085,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,Paspalum_flaccidum,1,1,4,20,54,81,464,754
OTU85568,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Cynodon,Cynodon_plectostachyus,1,1,4,20,54,78,380,569
OTU51412,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Chrysopogon,Chrysopogon_gryllus,1,1,4,20,54,81,430,679
OTU41539,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Lithocarpus,Lithocarpus_echinophorus,1,1,10,34,77,109,693,1243
OTU25901,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Castanea,fossil_Castanea_pollen,1,1,10,34,77,109,690,1235
OTU25652,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,NA,NA,1,1,4,20,54,81,481,799
OTU32453,Viridiplantae,Streptophyta,asterids,Cornales,Loasaceae,NA,Mentzelia,Mentzelia_albescens,1,1,1,5,17,25,211,304
OTU10453,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Fallopia,NA,1,1,11,47,121,178,859,1532
OTU83776,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Muehlenbeckia,Muehlenbeckia_tuggeranong,1,1,11,47,121,178,860,1534
OTU5518,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU60927,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_tortuosa,1,1,10,33,72,102,650,1143
OTU11621,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU107196,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Ageratina,Ageratina_adenophora,1,1,1,3,4,5,15,23
OTU20957,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,NA,NA,NA,1,1,1,3,4,10,171,238
OTU46062,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Mimosa,Mimosa_similis,1,1,10,33,72,102,634,1102
OTU96086,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Piptadenia,Piptadenia_floribunda,1,1,10,33,72,102,640,1113
OTU30009,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Tetrapleura,Tetrapleura_tetraptera,1,1,10,33,72,102,649,1130
OTU650,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,NA,1,1,11,54,134,192,887,1578
OTU1752,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,NA,NA,1,1,10,33,72,101,620,1061
OTU252,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,NA,NA,NA,1,1,1,3,4,10,171,238
OTU90005,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Pentanema,Pentanema_cernuum,1,1,1,3,4,5,85,112
OTU16072,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU12232,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,Eschscholzia_californica,1,1,11,54,134,192,887,1577
OTU49386,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Acacia,Acacia_havilandiorum,1,1,10,33,72,102,621,1072
OTU16790,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cichorioideae,Haplocarpha,NA,1,1,1,3,4,7,136,187
OTU4201,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU1648,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU22483,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU5529,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Acacia,NA,1,1,10,33,72,102,621,1081
OTU410,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cichorioideae,NA,NA,1,1,1,3,4,7,156,219
OTU2571,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,NA,NA,NA,1,1,10,33,72,104,682,1222
OTU35001,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_permixta,1,1,10,33,72,102,650,1139
OTU4243,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,NA,NA,1,1,10,33,72,101,620,1061
OTU47187,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Cylicodiscus,Cylicodiscus_gabunensis,1,1,10,33,72,102,624,1086
OTU59648,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Achillea,Achillea_biserrata,1,1,1,3,4,5,14,17
OTU7117,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Chamaecrista,NA,1,1,10,33,72,101,599,1025
OTU47141,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Fillaeopsis,Fillaeopsis_discophora,1,1,10,33,72,102,628,1091
OTU1595,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU104093,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_borleae,1,1,10,33,72,102,650,1132
OTU30010,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pentaclethra,Pentaclethra_eetveldeana,1,1,10,33,72,102,639,1109
OTU35786,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Pulicaria,Pulicaria_vulgaris,1,1,1,3,4,5,93,120
OTU4289,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Muehlenbeckia,NA,1,1,11,47,121,178,860,1535
OTU105827,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_exuvialis,1,1,10,33,72,102,650,1134
OTU89489,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Haematoxylum,Haematoxylum_dinteri,1,1,10,33,72,101,603,1032
OTU60088,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Stryphnodendron,Stryphnodendron_duckeanum,1,1,10,33,72,102,648,1127
OTU45278,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Carduoideae,Onopordum,Onopordum_acanthium,1,1,1,3,4,6,124,161
OTU15715,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,NA,NA,NA,1,1,1,3,4,10,171,238
OTU2700,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU169,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,NA,NA,1,1,1,3,4,5,113,144
OTU45793,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_hockii,1,1,10,33,72,102,650,1136
OTU18371,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Arnica,Arnica_cordifolia,1,1,1,3,4,5,23,31
OTU14442,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Acacia,NA,1,1,10,33,72,102,621,1081
OTU93076,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Jacqueshuberia,Jacqueshuberia_purpurea,1,1,10,33,72,101,605,1036
OTU2048,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Acacia,NA,1,1,10,33,72,102,621,1081
OTU68030,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Parkia,Parkia_timoriana,1,1,10,33,72,102,638,1108
OTU61153,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Pityrocarpa,Pityrocarpa_obliqua,1,1,10,33,72,102,643,1120
OTU60086,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Stryphnodendron,Stryphnodendron_adstringens,1,1,10,33,72,102,648,1126
OTU47319,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Robinsonia,Robinsonia_masafuerae,1,1,1,3,4,5,95,122
OTU4996,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU26541,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Diptychandra,Diptychandra_aurantiaca,1,1,10,33,72,101,602,1031
OTU38375,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Setaria,Setaria_palmifolia,1,1,4,20,54,81,469,770
OTU58162,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_nilotica,1,1,10,33,72,102,650,1138
OTU58978,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_arenaria,1,1,10,33,72,102,650,1131
OTU1023,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU98180,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Chrysolepis,Chrysolepis_sempervirens,1,1,10,34,77,109,692,1242
OTU36577,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Mimosa,Mimosa_detinens,1,1,10,33,72,102,634,1099
OTU26338,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,NA,NA,1,1,10,33,72,101,620,1061
OTU40361,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Danthonioideae,Pentameris,Pentameris_tysonii,1,1,4,20,54,79,415,649
OTU101913,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Asteroideae,Coreopsis,Coreopsis_petrophiloides,1,1,1,3,4,5,41,58
OTU51,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Pooideae,NA,NA,1,1,4,20,54,82,510,866
OTU95346,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Lotus,Lotus_unifoliolatus,1,1,10,33,72,103,669,1181
OTU96765,Viridiplantae,Streptophyta,rosids,Sapindales,Burseraceae,NA,Bursera,Bursera_simaruba,1,1,10,41,101,142,782,1417
OTU59,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Rosoideae,NA,NA,1,1,10,40,96,136,765,1390
OTU68969,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Acacia,Acacia_mearnsii,1,1,10,33,72,102,621,1074
OTU13055,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Harpachne,Harpachne_schimperi,1,1,4,20,54,78,391,604
OTU66855,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Calliandra,Calliandra_longipedicellata,1,1,10,33,72,102,623,1083
OTU18,Viridiplantae,Streptophyta,rosids,Rosales,Rosaceae,Maloideae,Prunus,NA,1,1,10,40,96,135,756,1370
OTU28,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Pooideae,NA,NA,1,1,4,20,54,82,510,866
OTU4838,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tuctoria,Tuctoria_greenei,1,1,4,20,54,78,406,636
OTU10255,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU30204,Viridiplantae,Streptophyta,NA,Ceratophyllales,Ceratophyllaceae,NA,Ceratophyllum,Ceratophyllum_demersum,1,1,11,48,124,182,871,1554
