OTU,SampleID,Reads
OTU150,S008801,5236
OTU1447,S008801,1232
OTU666,S008801,848
OTU1370,S008801,221
OTU52261,S008801,158
OTU2961,S008801,150
OTU80767,S008801,124
OTU97283,S008801,104
OTU98641,S008801,97
OTU46850,S008801,78
OTU181,S008801,59
OTU16679,S008801,42
OTU83482,S008801,40
OTU3071,S008801,35
OTU95775,S008801,33
OTU55764,S008801,29
OTU107130,S008801,28
OTU51283,S008801,28
OTU763,S008801,24
OTU35442,S008801,23
OTU2711,S008801,22
OTU47726,S008801,21
OTU409,S008801,20
OTU71015,S008801,20
OTU49692,S008801,19
OTU1439,S008801,18
OTU67423,S008801,17
OTU51335,S008801,17
OTU1519,S008801,16
OTU2109,S008801,16
OTU80517,S008801,13
OTU13264,S008801,13
OTU10790,S008801,12
OTU2677,S008801,11
OTU55884,S008801,11
OTU88760,S008801,11
OTU64126,S008801,10
OTU2259,S008801,10
OTU4186,S008801,8
OTU13174,S008801,8
OTU86656,S008801,8
OTU40671,S008801,8
OTU63,S008801,7
OTU1072,S008801,7
OTU93243,S008801,7
OTU76837,S008801,7
OTU8807,S008801,5
OTU52909,S008801,5
OTU42595,S008801,5
OTU84120,S008801,5
OTU97703,S008801,4
OTU18620,S008801,4
OTU65409,S008801,4
OTU37026,S008801,4
OTU59432,S008801,4
OTU53052,S008801,3
OTU1268,S008801,3
OTU65165,S008801,3
OTU6501,S008801,3
OTU54046,S008801,3
OTU39053,S008801,3
OTU38116,S008801,3
OTU85569,S008801,3
OTU5539,S008801,3
OTU15064,S008801,3
OTU956,S008801,2
OTU79531,S008801,2
OTU47832,S008801,2
OTU53045,S008801,2
OTU101170,S008801,2
OTU23611,S008801,2
OTU93436,S008801,2
OTU2866,S008801,2
OTU1790,S008801,2
OTU84831,S008801,2
OTU17328,S008801,2
OTU14526,S008801,2
OTU13118,S008801,2
OTU102577,S008801,2
OTU11951,S008801,1
OTU16629,S008801,1
OTU21728,S008801,1
OTU78221,S008801,1
OTU12636,S008801,1
OTU69806,S008801,1
OTU35213,S008801,1
OTU8497,S008801,1
OTU12916,S008801,1
OTU776,S008801,1
OTU54330,S008801,1
OTU4375,S008801,1
OTU5570,S008801,1
OTU20785,S008801,1
OTU38683,S008801,1
OTU9489,S008801,1
OTU87252,S008801,1
OTU12298,S008801,1
OTU53175,S008801,1
OTU77105,S008801,1
OTU40055,S008801,1
OTU1123,S008801,1
OTU37464,S008801,1
OTU100546,S008801,1
OTU35334,S008801,1
OTU43743,S008801,1
OTU38397,S008801,1
OTU73085,S008801,1
OTU85568,S008801,1
OTU51412,S008801,1
OTU41539,S008801,1
OTU25901,S008801,1
OTU25652,S008801,1
OTU32453,S008801,1
OTU10453,S008802,7109
OTU763,S008802,6872
OTU150,S008802,2292
OTU83776,S008802,1692
OTU1447,S008802,1072
OTU956,S008802,1024
OTU5518,S008802,880
OTU78221,S008802,403
OTU60927,S008802,182
OTU11621,S008802,167
OTU107196,S008802,140
OTU666,S008802,114
OTU51283,S008802,65
OTU20957,S008802,56
OTU46062,S008802,48
OTU1370,S008802,47
OTU96086,S008802,41
OTU30009,S008802,38
OTU9489,S008802,38
OTU650,S008802,34
OTU1752,S008802,30
OTU252,S008802,28
OTU90005,S008802,28
OTU97283,S008802,27
OTU20785,S008802,26
OTU80517,S008802,25
OTU16072,S008802,24
OTU12232,S008802,22
OTU55764,S008802,22
OTU49386,S008802,19
OTU16790,S008802,17
OTU4201,S008802,16
OTU35442,S008802,16
OTU1648,S008802,14
OTU22483,S008802,14
OTU5529,S008802,11
OTU410,S008802,11
OTU2571,S008802,11
OTU88760,S008802,10
OTU16679,S008802,10
OTU52261,S008802,9
OTU42595,S008802,9
OTU409,S008802,8
OTU35001,S008802,8
OTU93243,S008802,8
OTU49692,S008802,7
OTU83482,S008802,7
OTU64126,S008802,7
OTU4243,S008802,7
OTU47187,S008802,7
OTU59648,S008802,7
OTU7117,S008802,7
OTU12636,S008802,6
OTU47141,S008802,6
OTU1595,S008802,6
OTU104093,S008802,6
OTU30010,S008802,6
OTU35786,S008802,6
OTU4289,S008802,6
OTU1439,S008802,5
OTU2677,S008802,5
OTU105827,S008802,5
OTU89489,S008802,5
OTU60088,S008802,5
OTU45278,S008802,5
OTU15715,S008802,4
OTU86656,S008802,4
OTU67423,S008802,4
OTU2700,S008802,4
OTU97703,S008802,4
OTU1519,S008802,4
OTU169,S008802,4
OTU76837,S008802,4
OTU45793,S008802,4
OTU87252,S008802,4
OTU18371,S008802,4
OTU14442,S008802,4
OTU93076,S008802,4
OTU2048,S008802,3
OTU2259,S008802,3
OTU47726,S008802,3
OTU68030,S008802,3
OTU61153,S008802,3
OTU60086,S008802,3
OTU47319,S008802,3
OTU4996,S008802,2
OTU6501,S008802,2
OTU80767,S008802,2
OTU53045,S008802,2
OTU63,S008802,2
OTU37026,S008802,2
OTU26541,S008802,2
OTU38375,S008802,2
OTU58162,S008802,2
OTU101170,S008802,2
OTU14526,S008802,2
OTU58978,S008802,2
OTU1072,S008802,2
OTU54330,S008802,2
OTU1023,S008802,2
OTU98180,S008802,2
OTU36577,S008802,2
OTU26338,S008802,2
OTU40361,S008802,2
OTU101913,S008802,2
OTU51,S008802,1
OTU95346,S008802,1
OTU96765,S008802,1
OTU59,S008802,1
OTU68969,S008802,1
OTU13055,S008802,1
OTU5570,S008802,1
OTU66855,S008802,1
OTU18,S008802,1
OTU28,S008802,1
OTU4838,S008802,1
OTU776,S008802,1
OTU10255,S008802,1
OTU30204,S008802,1
OTU18620,S008802,1
OTU8497,S008802,1
OTU618,S008802,1
OTU73674,S008802,1
OTU2109,S008802,1
OTU47832,S008802,1
OTU84831,S008802,1
OTU4597,S008802,1
OTU38683,S008802,1
OTU27893,S008802,1
OTU85569,S008802,1
OTU35134,S008802,1
OTU33899,S008802,1
