OTU,SampleID,Reads
OTU65165,S008802,1
OTU4524,S008802,1
OTU79373,S008802,1
OTU23611,S008802,1
OTU50890,S008802,1
OTU38697,S008802,1
OTU63151,S008802,1
OTU76866,S008802,1
OTU35328,S008802,1
OTU14378,S008802,1
OTU9262,S008802,1
OTU5609,S008802,1
OTU50986,S008802,1
OTU38397,S008802,1
OTU614,S008802,1
OTU52909,S008802,1
OTU21935,S008802,1
OTU15064,S008802,1
OTU92029,S008802,1
OTU36484,S008802,1
OTU102408,S008802,1
OTU21415,S008802,1
OTU102912,S008802,1
OTU37464,S008802,1
OTU40397,S008802,1
OTU49024,S008802,1
OTU15765,S008802,1
OTU4659,S008802,1
OTU34857,S008802,1
OTU17022,S008802,1
OTU88611,S008802,1
OTU100546,S008802,1
OTU69352,S008802,1
OTU82001,S008802,1
OTU103558,S008802,1
OTU13279,S008802,1
OTU25202,S008802,1
OTU65908,S008802,1
OTU6330,S008802,1
OTU94346,S008803,8040
OTU763,S008803,8007
OTU150,S008803,1350
OTU956,S008803,1119
OTU1447,S008803,530
OTU78221,S008803,451
OTU60927,S008803,223
OTU879,S008803,193
OTU97283,S008803,101
OTU75265,S008803,97
OTU83482,S008803,78
OTU35001,S008803,73
OTU252,S008803,72
OTU59434,S008803,71
OTU666,S008803,56
OTU96086,S008803,53
OTU1752,S008803,42
OTU106816,S008803,36
OTU94020,S008803,34
OTU5518,S008803,29
OTU30009,S008803,29
OTU20785,S008803,29
OTU37558,S008803,27
OTU410,S008803,22
OTU107118,S008803,19
OTU22483,S008803,18
OTU16679,S008803,18
OTU2571,S008803,13
OTU55764,S008803,13
OTU46062,S008803,13
OTU51283,S008803,11
OTU30010,S008803,11
OTU107196,S008803,10
OTU3013,S008803,10
OTU104093,S008803,10
OTU107108,S008803,10
OTU1439,S008803,9
OTU89489,S008803,9
OTU14879,S008803,8
OTU1648,S008803,8
OTU1370,S008803,8
OTU618,S008803,8
OTU45793,S008803,8
OTU80517,S008803,7
OTU9489,S008803,7
OTU4243,S008803,7
OTU47187,S008803,7
OTU107113,S008803,7
OTU1859,S008803,6
OTU68030,S008803,6
OTU16072,S008803,6
OTU107106,S008803,6
OTU47726,S008803,5
OTU67423,S008803,5
OTU35442,S008803,5
OTU11621,S008803,5
OTU97703,S008803,5
OTU21935,S008803,5
OTU1023,S008803,5
OTU7117,S008803,5
OTU11466,S008803,4
OTU1410,S008803,4
OTU4201,S008803,4
OTU15715,S008803,4
OTU2700,S008803,4
OTU26541,S008803,4
OTU42595,S008803,4
OTU18687,S008803,4
OTU50986,S008803,4
OTU71762,S008803,4
OTU79705,S008803,3
OTU80767,S008803,3
OTU88760,S008803,3
OTU7616,S008803,3
OTU1519,S008803,3
OTU20957,S008803,3
OTU61153,S008803,3
OTU58162,S008803,3
OTU93243,S008803,3
OTU60086,S008803,3
OTU409,S008803,2
OTU12618,S008803,2
OTU2677,S008803,2
OTU54049,S008803,2
OTU598,S008803,2
OTU18620,S008803,2
OTU52261,S008803,2
OTU77105,S008803,2
OTU86656,S008803,2
OTU47141,S008803,2
OTU27893,S008803,2
OTU60088,S008803,2
OTU58978,S008803,2
OTU23860,S008803,2
OTU90005,S008803,2
OTU27638,S008803,2
OTU42858,S008803,2
OTU81046,S008803,2
OTU5529,S008803,1
OTU46628,S008803,1
OTU50183,S008803,1
OTU2048,S008803,1
OTU66855,S008803,1
OTU49692,S008803,1
OTU61757,S008803,1
OTU107132,S008803,1
OTU6501,S008803,1
OTU22979,S008803,1
OTU3203,S008803,1
OTU14251,S008803,1
OTU2259,S008803,1
OTU8497,S008803,1
OTU73674,S008803,1
OTU12636,S008803,1
OTU54046,S008803,1
OTU105827,S008803,1
OTU86531,S008803,1
OTU64126,S008803,1
OTU34287,S008803,1
OTU8608,S008803,1
OTU23611,S008803,1
OTU93612,S008803,1
OTU76837,S008803,1
OTU14378,S008803,1
OTU5539,S008803,1
OTU65409,S008803,1
OTU17793,S008803,1
OTU17328,S008803,1
OTU1072,S008803,1
OTU4303,S008803,1
OTU592,S008803,1
OTU479,S008803,1
OTU84459,S008803,1
OTU28587,S008803,1
OTU193,S008803,1
OTU36484,S008803,1
OTU948,S008803,1
OTU49386,S008803,1
OTU45278,S008803,1
OTU26338,S008803,1
OTU8531,S008803,1
OTU14548,S008803,1
OTU74624,S008803,1
OTU23813,S008803,1
OTU16077,S008803,1
OTU82815,S008803,1
OTU17658,S008803,1
OTU96502,S008803,1
OTU25202,S008803,1
OTU64737,S008803,1
OTU54272,S008803,1
OTU763,S008804,8929
OTU94346,S008804,7747
OTU14879,S008804,2172
OTU956,S008804,1544
OTU61757,S008804,965
OTU16029,S008804,792
OTU150,S008804,601
OTU78221,S008804,590
OTU1447,S008804,238
OTU60927,S008804,223
OTU409,S008804,82
OTU30009,S008804,58
OTU96086,S008804,51
OTU1752,S008804,49
OTU97283,S008804,38
OTU22483,S008804,38
OTU20785,S008804,34
OTU1648,S008804,23
OTU2571,S008804,20
OTU666,S008804,16
OTU46062,S008804,14
OTU42595,S008804,13
OTU104093,S008804,13
OTU776,S008804,12
OTU30010,S008804,11
OTU8513,S008804,10
OTU58978,S008804,10
OTU102912,S008804,9
OTU68030,S008804,8
OTU26541,S008804,8
OTU6639,S008804,8
OTU45793,S008804,8
OTU17696,S008804,8
OTU35001,S008804,7
OTU16679,S008804,7
OTU55764,S008804,7
OTU2700,S008804,7
OTU61153,S008804,7
OTU80517,S008804,6
OTU89489,S008804,6
OTU1439,S008804,5
OTU56336,S008804,5
OTU7616,S008804,5
OTU105827,S008804,5
OTU9489,S008804,5
OTU50986,S008804,5
OTU11114,S008804,5
OTU36484,S008804,5
OTU1370,S008804,4
OTU88760,S008804,4
OTU67423,S008804,4
OTU47832,S008804,4
OTU47187,S008804,4
OTU89221,S008804,4
OTU205,S008804,4
OTU21935,S008804,4
OTU88347,S008804,4
OTU2471,S008804,3
OTU64126,S008804,3
OTU4243,S008804,3
OTU58162,S008804,3
OTU17242,S008804,3
OTU53408,S008804,3
OTU71762,S008804,3
OTU49386,S008804,3
OTU26338,S008804,3
OTU7117,S008804,3
OTU2677,S008804,2
OTU5570,S008804,2
OTU4838,S008804,2
OTU3013,S008804,2
OTU52261,S008804,2
OTU51283,S008804,2
OTU86656,S008804,2
OTU24429,S008804,2
OTU33899,S008804,2
OTU16072,S008804,2
OTU23611,S008804,2
OTU30234,S008804,2
OTU87252,S008804,2
OTU1023,S008804,2
OTU54842,S008804,2
OTU36577,S008804,2
OTU93076,S008804,2
OTU37464,S008804,2
OTU40839,S008804,2
OTU51,S008804,1
OTU95346,S008804,1
OTU5543,S008804,1
OTU2048,S008804,1
OTU1710,S008804,1
OTU49692,S008804,1
OTU6501,S008804,1
OTU267,S008804,1
OTU3203,S008804,1
OTU53045,S008804,1
OTU38622,S008804,1
OTU83482,S008804,1
OTU2259,S008804,1
OTU13122,S008804,1
OTU39867,S008804,1
OTU54046,S008804,1
OTU35442,S008804,1
OTU63,S008804,1
OTU1519,S008804,1
OTU101170,S008804,1
OTU38697,S008804,1
OTU93243,S008804,1
OTU19697,S008804,1
OTU5539,S008804,1
OTU14526,S008804,1
OTU60088,S008804,1
OTU38397,S008804,1
OTU28587,S008804,1
OTU193,S008804,1
OTU65997,S008804,1
OTU49872,S008804,1
OTU23860,S008804,1
OTU20658,S008804,1
OTU29392,S008804,1
OTU5546,S008804,1
OTU27638,S008804,1
OTU23813,S008804,1
OTU1199,S008804,1
OTU47533,S008804,1
OTU14879,S008805,3987
OTU61757,S008805,1545
OTU79705,S008805,585
OTU107131,S008805,477
OTU20237,S008805,436
OTU763,S008805,407
OTU650,S008805,261
OTU185,S008805,247
OTU150,S008805,219
OTU94346,S008805,193
OTU16029,S008805,156
OTU61803,S008805,127
OTU46850,S008805,101
OTU97283,S008805,93
OTU17696,S008805,74
OTU1447,S008805,71
OTU22826,S008805,69
OTU956,S008805,62
OTU12232,S008805,36
OTU8497,S008805,34
OTU78221,S008805,29
OTU24429,S008805,26
OTU6639,S008805,25
OTU72480,S008805,23
OTU84646,S008805,15
OTU10790,S008805,13
OTU75265,S008805,8
OTU60927,S008805,8
OTU11114,S008805,8
OTU28573,S008805,8
OTU55884,S008805,7
OTU30234,S008805,6
OTU56336,S008805,3
OTU16679,S008805,3
OTU1752,S008805,3
OTU19697,S008805,3
OTU40344,S008805,3
OTU2677,S008805,2
OTU67423,S008805,2
OTU1519,S008805,2
OTU6501,S008805,2
OTU22483,S008805,2
OTU11579,S008805,2
OTU666,S008805,1
OTU409,S008805,1
OTU55764,S008805,1
OTU80517,S008805,1
OTU30009,S008805,1
OTU47726,S008805,1
OTU96086,S008805,1
OTU26314,S008805,1
OTU3013,S008805,1
OTU1648,S008805,1
OTU46062,S008805,1
OTU53408,S008805,1
OTU76837,S008805,1
OTU101170,S008805,1
OTU23611,S008805,1
OTU2471,S008805,1
OTU20785,S008805,1
OTU30010,S008805,1
OTU62539,S008805,1
OTU84831,S008805,1
OTU21935,S008805,1
OTU50986,S008805,1
OTU58978,S008805,1
OTU83285,S008805,1
OTU84459,S008805,1
OTU82107,S008805,1
OTU1997,S008805,1
OTU93470,S008805,1
OTU4482,S008805,1
OTU150,S008806,13665
OTU1447,S008806,3267
OTU763,S008806,2692
OTU94346,S008806,2338
OTU14879,S008806,993
OTU97283,S008806,526
OTU956,S008806,418
OTU61757,S008806,363
OTU78221,S008806,206
OTU16679,S008806,101
OTU55764,S008806,99
OTU51283,S008806,74
OTU1439,S008806,63
OTU60927,S008806,55
OTU38683,S008806,44
OTU67423,S008806,43
OTU2677,S008806,41
OTU49692,S008806,40
OTU47726,S008806,39
OTU35442,S008806,39
OTU80517,S008806,35
OTU88760,S008806,30
OTU1519,S008806,30
OTU252,S008806,28
OTU86656,S008806,28
OTU96086,S008806,25
OTU76837,S008806,23
OTU47141,S008806,21
OTU64126,S008806,21
OTU93243,S008806,21
OTU409,S008806,20
OTU1752,S008806,20
OTU2259,S008806,18
OTU85569,S008806,18
OTU410,S008806,17
OTU18620,S008806,16
OTU65409,S008806,15
OTU5518,S008806,13
OTU30009,S008806,13
OTU37026,S008806,13
OTU53045,S008806,11
OTU54046,S008806,10
OTU23611,S008806,10
OTU97703,S008806,9
OTU6639,S008806,9
OTU1072,S008806,9
OTU2571,S008806,7
OTU101170,S008806,7
OTU92029,S008806,7
OTU15715,S008806,6
OTU47832,S008806,6
OTU46062,S008806,6
OTU45793,S008806,6
OTU11114,S008806,6
OTU107196,S008806,5
OTU6501,S008806,5
OTU22483,S008806,5
OTU1648,S008806,4
OTU776,S008806,4
OTU8497,S008806,4
OTU68030,S008806,4
OTU479,S008806,4
OTU71762,S008806,4
OTU35001,S008806,3
OTU618,S008806,3
OTU72897,S008806,3
OTU9489,S008806,3
OTU20785,S008806,3
OTU1123,S008806,3
OTU14378,S008806,3
OTU30234,S008806,3
OTU18687,S008806,3
OTU17328,S008806,3
OTU30010,S008806,3
OTU193,S008806,3
OTU15064,S008806,3
OTU26338,S008806,3
OTU74624,S008806,3
OTU5570,S008806,2
OTU64969,S008806,2
OTU24429,S008806,2
OTU7616,S008806,2
OTU13122,S008806,2
OTU105827,S008806,2
OTU2700,S008806,2
OTU93436,S008806,2
OTU4243,S008806,2
OTU61153,S008806,2
OTU68531,S008806,2
OTU47187,S008806,2
OTU38697,S008806,2
OTU63151,S008806,2
OTU5539,S008806,2
OTU42595,S008806,2
OTU54839,S008806,2
OTU104093,S008806,2
OTU14526,S008806,2
OTU87252,S008806,2
OTU72274,S008806,2
OTU4375,S008806,2
OTU21935,S008806,2
OTU1023,S008806,2
OTU1790,S008806,2
OTU43743,S008806,2
OTU93241,S008806,2
OTU40055,S008806,2
OTU100546,S008806,2
OTU51,S008806,1
OTU95346,S008806,1
OTU1663,S008806,1
OTU224,S008806,1
OTU13997,S008806,1
OTU13055,S008806,1
OTU55370,S008806,1
OTU3013,S008806,1
OTU94763,S008806,1
OTU4201,S008806,1
OTU77743,S008806,1
OTU28591,S008806,1
OTU53607,S008806,1
OTU85568,S008806,1
OTU11621,S008806,1
OTU35134,S008806,1
OTU91370,S008806,1
OTU89489,S008806,1
OTU33899,S008806,1
OTU16072,S008806,1
OTU13118,S008806,1
OTU58162,S008806,1
OTU53053,S008806,1
OTU53175,S008806,1
OTU69806,S008806,1
OTU83285,S008806,1
OTU58978,S008806,1
OTU54330,S008806,1
OTU78192,S008806,1
OTU40061,S008806,1
OTU13044,S008806,1
OTU102912,S008806,1
OTU41060,S008806,1
OTU37464,S008806,1
OTU3346,S008806,1
OTU58107,S008806,1
OTU82001,S008806,1
OTU64622,S008806,1
OTU39981,S008806,1
OTU24667,S008806,1
OTU44036,S008806,1
OTU19238,S008806,1
OTU61400,S008806,1
OTU28034,S008806,1
OTU763,S008807,3492
OTU150,S008807,2083
OTU11466,S008807,1808
OTU75265,S008807,1139
OTU22826,S008807,953
OTU1447,S008807,804
OTU956,S008807,474
OTU12618,S008807,345
OTU84646,S008807,214
OTU78221,S008807,191
OTU97283,S008807,120
OTU94346,S008807,89
OTU60927,S008807,75
OTU14879,S008807,69
OTU18230,S008807,47
OTU55764,S008807,30
OTU80517,S008807,27
OTU61757,S008807,22
OTU73990,S008807,21
OTU1979,S008807,19
OTU30009,S008807,18
OTU92931,S008807,15
OTU650,S008807,12
OTU1710,S008807,12
OTU16679,S008807,11
OTU47141,S008807,11
OTU5670,S008807,11
OTU666,S008807,10
OTU14367,S008807,9
OTU409,S008807,8
OTU35442,S008807,8
OTU96086,S008807,8
OTU1752,S008807,8
OTU1648,S008807,8
OTU1439,S008807,7
OTU67423,S008807,7
OTU49692,S008807,7
OTU23141,S008807,7
OTU104093,S008807,7
OTU4243,S008807,7
OTU11951,S008807,6
OTU14356,S008807,6
OTU20785,S008807,6
OTU93490,S008807,6
OTU75334,S008807,6
OTU11878,S008807,6
OTU51283,S008807,5
OTU12232,S008807,5
OTU70689,S008807,5
OTU22483,S008807,5
OTU64126,S008807,5
OTU46062,S008807,5
OTU2571,S008807,5
OTU30010,S008807,5
OTU54932,S008807,4
OTU1370,S008807,4
OTU2677,S008807,4
OTU88760,S008807,4
OTU1519,S008807,4
OTU2259,S008807,4
OTU35001,S008807,4
OTU71762,S008807,4
OTU58978,S008807,4
OTU54809,S008807,4
OTU47726,S008807,3
OTU2648,S008807,3
OTU86656,S008807,3
OTU6501,S008807,3
OTU93243,S008807,3
OTU18620,S008807,3
OTU55579,S008807,3
OTU101170,S008807,3
OTU3481,S008807,3
OTU38683,S008807,3
OTU9489,S008807,3
OTU42595,S008807,3
OTU68030,S008807,3
OTU26338,S008807,3
OTU83285,S008807,3
OTU105245,S008807,3
OTU2048,S008807,3
OTU65908,S008807,3
OTU80767,S008807,2
OTU42604,S008807,2
OTU97703,S008807,2
OTU102408,S008807,2
OTU61249,S008807,2
OTU54046,S008807,2
OTU76837,S008807,2
OTU73108,S008807,2
OTU65409,S008807,2
OTU23611,S008807,2
OTU45793,S008807,2
OTU26693,S008807,2
OTU89489,S008807,2
OTU36484,S008807,2
OTU21935,S008807,2
OTU7616,S008807,2
OTU564,S008807,2
OTU19014,S008807,2
OTU38697,S008807,2
OTU5529,S008807,2
OTU85573,S008807,2
OTU10746,S008807,2
OTU83482,S008807,1
OTU12636,S008807,1
OTU8497,S008807,1
OTU17696,S008807,1
OTU1072,S008807,1
OTU11114,S008807,1
OTU47832,S008807,1
OTU53408,S008807,1
OTU53045,S008807,1
OTU5570,S008807,1
OTU96652,S008807,1
OTU93436,S008807,1
OTU18005,S008807,1
OTU87252,S008807,1
OTU2700,S008807,1
OTU84831,S008807,1
OTU15064,S008807,1
OTU47187,S008807,1
OTU58162,S008807,1
OTU50986,S008807,1
OTU38375,S008807,1
OTU25760,S008807,1
OTU14378,S008807,1
OTU76355,S008807,1
OTU49386,S008807,1
OTU102912,S008807,1
OTU479,S008807,1
OTU37849,S008807,1
OTU73085,S008807,1
OTU84459,S008807,1
OTU73995,S008807,1
OTU50890,S008807,1
OTU41409,S008807,1
OTU66492,S008807,1
OTU67924,S008807,1
OTU8531,S008807,1
OTU96835,S008807,1
OTU82815,S008807,1
OTU19955,S008807,1
OTU3689,S008807,1
OTU89602,S008807,1
OTU50422,S008807,1
OTU106274,S008807,1
OTU25,S008809,30635
OTU121,S008809,649
OTU1767,S008809,28
OTU86,S008809,15
OTU4965,S008809,7
OTU80,S008809,6
OTU11439,S008809,6
OTU5450,S008809,5
OTU4299,S008809,5
OTU4715,S008809,5
OTU56,S008809,4
OTU133,S008809,4
OTU9657,S008809,4
OTU556,S008809,4
OTU6567,S008809,4
OTU6104,S008809,4
OTU5516,S008809,4
OTU6743,S008809,4
OTU4914,S008809,4
OTU8668,S008809,4
OTU35,S008809,3
OTU136,S008809,3
OTU12959,S008809,3
OTU9785,S008809,3
OTU6130,S008809,3
OTU10974,S008809,3
OTU5781,S008809,3
OTU6994,S008809,3
OTU15093,S008809,3
OTU9311,S008809,3
OTU7876,S008809,3
OTU11706,S008809,3
OTU6399,S008809,3
OTU11628,S008809,3
OTU7227,S008809,3
OTU6635,S008809,3
OTU6663,S008809,3
OTU13722,S008809,3
OTU15469,S008809,3
OTU8289,S008809,3
OTU11035,S008809,3
OTU6868,S008809,3
OTU5730,S008809,3
OTU9008,S008809,3
OTU13383,S008809,3
OTU62,S008809,2
OTU13454,S008809,2
OTU11356,S008809,2
OTU12612,S008809,2
OTU12252,S008809,2
OTU11722,S008809,2
OTU9444,S008809,2
OTU13071,S008809,2
OTU9681,S008809,2
OTU14902,S008809,2
OTU12001,S008809,2
OTU11529,S008809,2
OTU15511,S008809,2
OTU16060,S008809,2
OTU8521,S008809,2
OTU8394,S008809,2
OTU9308,S008809,2
OTU9452,S008809,2
OTU11654,S008809,2
OTU12304,S008809,2
OTU9656,S008809,2
OTU13753,S008809,2
OTU10342,S008809,2
OTU14253,S008809,2
OTU8903,S008809,2
OTU11524,S008809,2
OTU16110,S008809,2
OTU9613,S008809,2
OTU8879,S008809,2
OTU8940,S008809,2
OTU9087,S008809,2
OTU16287,S008809,2
OTU11615,S008809,2
OTU9667,S008809,2
OTU15668,S008809,2
OTU12232,S008809,2
OTU10692,S008809,2
OTU11229,S008809,2
OTU10908,S008809,2
OTU14240,S008809,2
OTU14224,S008809,2
OTU13788,S008809,2
OTU12750,S008809,2
OTU11088,S008809,2
OTU9211,S008809,2
OTU14962,S008809,2
OTU12540,S008809,2
OTU15498,S008809,2
OTU13749,S008809,2
OTU13765,S008809,2
OTU9367,S008809,2
OTU11827,S008809,2
OTU14605,S008809,2
OTU10008,S008809,2
OTU7794,S008809,2
OTU13028,S008809,2
OTU12725,S008809,2
OTU17131,S008809,2
OTU10040,S008809,2
OTU13819,S008809,2
OTU14512,S008809,2
OTU12792,S008809,2
OTU9555,S008809,2
OTU14838,S008809,2
OTU11891,S008809,2
OTU8268,S008809,2
OTU12533,S008809,2
OTU15075,S008809,2
OTU8303,S008809,2
OTU12728,S008809,2
OTU13861,S008809,2
OTU11068,S008809,2
OTU10551,S008809,2
OTU17151,S008809,2
OTU11913,S008809,2
OTU16630,S008809,2
OTU9018,S008809,2
OTU16146,S008809,2
OTU9029,S008809,2
OTU15200,S008809,2
OTU14260,S008809,2
OTU16467,S008809,2
OTU23,S008809,1
OTU21,S008809,1
OTU173,S008809,1
OTU172,S008809,1
OTU12400,S008809,1
OTU886,S008809,1
OTU8517,S008809,1
OTU9904,S008809,1
OTU3143,S008809,1
OTU9795,S008809,1
OTU2369,S008809,1
OTU14483,S008809,1
OTU16912,S008809,1
OTU3687,S008809,1
OTU763,S008810,16642
OTU150,S008810,3015
OTU956,S008810,2233
OTU1447,S008810,1736
OTU78221,S008810,590
OTU60927,S008810,387
OTU181,S008810,107
OTU30009,S008810,102
OTU96086,S008810,57
OTU1752,S008810,55
OTU55764,S008810,52
OTU46062,S008810,41
OTU22483,S008810,33
OTU97283,S008810,29
OTU16679,S008810,29
OTU28083,S008810,25
OTU2677,S008810,23
OTU51283,S008810,23
OTU104093,S008810,23
OTU4186,S008810,21
OTU8807,S008810,21
OTU2571,S008810,21
OTU47141,S008810,21
OTU80517,S008810,20
OTU9489,S008810,17
OTU1648,S008810,16
OTU20785,S008810,16
OTU45793,S008810,16
OTU30010,S008810,16
OTU13959,S008810,15
OTU409,S008810,14
OTU26541,S008810,14
OTU42595,S008810,14
OTU35001,S008810,13
OTU68030,S008810,13
OTU26338,S008810,13
OTU234,S008810,11
OTU105827,S008810,10
OTU3606,S008810,9
OTU61153,S008810,9
OTU3752,S008810,9
OTU51,S008810,8
OTU1439,S008810,8
OTU88760,S008810,8
OTU47726,S008810,8
OTU79531,S008810,8
OTU86656,S008810,8
OTU89489,S008810,8
OTU58162,S008810,8
OTU1023,S008810,8
OTU88819,S008810,8
OTU18687,S008810,7
OTU56341,S008810,7
OTU52764,S008810,6
OTU521,S008810,6
OTU49692,S008810,6
OTU6501,S008810,6
OTU43759,S008810,6
OTU67423,S008810,6
OTU7616,S008810,6
OTU35442,S008810,6
OTU15,S008810,6
OTU39044,S008810,6
OTU1974,S008810,5
OTU22826,S008810,5
OTU598,S008810,5
OTU3071,S008810,5
OTU1519,S008810,5
OTU739,S008810,5
OTU43743,S008810,5
OTU6002,S008810,5
OTU5670,S008810,5
OTU8295,S008810,4
OTU2648,S008810,4
OTU2296,S008810,4
OTU18620,S008810,4
OTU29183,S008810,4
OTU106816,S008810,4
OTU2700,S008810,4
OTU4243,S008810,4
OTU33899,S008810,4
OTU47187,S008810,4
OTU58978,S008810,4
OTU21728,S008810,4
OTU84459,S008810,4
OTU21935,S008810,4
OTU36484,S008810,4
OTU22692,S008810,4
OTU1710,S008810,3
OTU39053,S008810,3
OTU16629,S008810,3
OTU12636,S008810,3
OTU37026,S008810,3
OTU15272,S008810,3
OTU16072,S008810,3
OTU23611,S008810,3
OTU65409,S008810,3
OTU50986,S008810,3
OTU99197,S008810,3
