OTU,SampleID,Reads,DataFrame
OTU31,S008809,18115,spring2017
OTU7,S008818,19732,spring2017
OTU85,S008819,5535,spring2017
OTU15,S008820,23698,spring2017
OTU117,S008822,2414,spring2017
OTU15,S008822,1200,spring2017
OTU72,S008823,10268,spring2017
OTU114,S008823,1628,spring2017
OTU309,S008823,111,spring2017
OTU11,S008828,13993,spring2017
OTU17,S008829,4327,spring2017
OTU30,S008830,15923,spring2017
OTU61,S008831,11402,spring2017
OTU67,S008832,9368,spring2017
OTU112,S008833,1810,spring2017
OTU53,S008838,11161,spring2017
OTU40,S008839,13133,spring2017
OTU17,S008840,5285,spring2017
OTU84,S008841,4944,spring2017
OTU103,S008841,2892,spring2017
OTU47,S008842,13154,spring2017
OTU77,S008842,5891,spring2017
OTU68,S008843,13003,spring2017
OTU17,S008848,16616,spring2017
OTU198,S008848,244,spring2017
OTU24,S008849,14360,spring2017
OTU93,S008850,6325,spring2017
OTU58,S008851,11277,spring2017
OTU51,S008852,13458,spring2017
OTU97,S008853,4071,spring2017
OTU108,S008853,2797,spring2017
OTU44,S008858,9951,spring2017
OTU27,S008859,18320,spring2017
OTU25,S008864,19362,spring2017
NA,S008865,NA,NA
OTU87,S008866,6884,spring2017
OTU90,S008867,3905,spring2017
OTU206,S008867,583,spring2017
OTU395,S008867,168,spring2017
OTU14,S008868,22721,spring2017
OTU3,S008869,24467,spring2017
OTU4,S008870,15734,spring2017
OTU13,S008874,16008,spring2017
OTU79,S008875,6070,spring2017
OTU116,S008875,1397,spring2017
OTU101,S008876,3084,spring2017
OTU104,S008876,2500,spring2017
OTU66,S008877,8516,spring2017
OTU78,S008878,6208,spring2017
OTU36,S008879,14257,spring2017
OTU37,S008880,13676,spring2017
OTU95,S008880,3957,spring2017
OTU109,S008882,1905,spring2017
OTU128,S008882,1201,spring2017
OTU129,S008882,1029,spring2017
OTU132,S008882,1025,spring2017
OTU21,S008885,6875,spring2017
OTU69,S008886,5912,spring2017
OTU136,S008886,690,spring2017
OTU32,S008887,13699,spring2017
OTU35,S008888,7550,spring2017
OTU43,S008889,12214,spring2017
OTU60,S008892,11176,spring2017
OTU62,S008893,10325,spring2017
OTU73,S008895,8706,spring2017
OTU71,S008896,8699,spring2017
OTU39,S008897,10160,spring2017
OTU12,S008898,26226,spring2017
OTU18,S009000,28052,spring2017
OTU42,S009001,8983,spring2017
OTU100,S009002,2868,spring2017
OTU102,S009003,4146,spring2017
OTU28,S009005,20857,spring2017
OTU89,S009006,6044,spring2017
OTU41,S009007,13236,spring2017
OTU168,S009007,520,spring2017
OTU2,S009008,25458,spring2017
OTU55,S009009,11567,spring2017
OTU208,S009009,220,spring2017
OTU335,S009009,106,spring2017
OTU59,S009010,11519,spring2017
OTU22,S009011,3138,spring2017
OTU54,S009012,11161,spring2017
OTU6,S009013,5587,spring2017
OTU34,S009014,13766,spring2017
OTU63,S009015,4783,spring2017
OTU21,S009016,15914,spring2017
OTU74,S009017,7711,spring2017
OTU75,S009018,10295,spring2017
OTU10,S009019,9829,spring2017
OTU83,S009024,7427,spring2017
OTU50,S009025,11109,spring2017
OTU16,S009026,24802,spring2017
OTU26,S009027,25641,spring2017
OTU131,S009027,1065,spring2017
OTU29,S009028,11249,spring2017
OTU24,S009029,5583,spring2017
OTU42,S009029,5201,spring2017
OTU6,S009029,2690,spring2017
OTU106,S009029,2058,spring2017
OTU82,S009034,5518,spring2017
OTU8,S009035,1431,spring2017
OTU23,S009036,20377,spring2017
OTU80,S009037,9043,spring2017
OTU105,S009037,2485,spring2017
OTU115,S009037,1505,spring2017
OTU9,S009038,26827,spring2017
OTU4,S009039,13303,spring2017
OTU86,S009044,8451,spring2017
OTU64,S009045,9630,spring2017
OTU99,S009046,5153,spring2017
OTU111,S009046,1874,spring2017
OTU189,S009046,412,spring2017
NA,S009047,NA,NA
OTU81,S009048,7587,spring2017
OTU91,S009048,5158,spring2017
OTU33,S009049,14916,spring2017
OTU3,S009054,19297,spring2017
OTU98,S009055,3631,spring2017
OTU19,S009056,24512,spring2017
OTU45,S009057,11537,spring2017
OTU57,S009058,12445,spring2017
OTU46,S009059,12125,spring2017
OTU9,S009068,5030,spring2017
OTU49,S009069,11518,spring2017
OTU48,S009078,12883,spring2017
OTU70,S009079,12959,spring2017
OTU38,S009088,13389,spring2017
OTU52,S009089,13472,spring2017
OTU56,S009098,18669,spring2017
OTU88,S009099,4256,spring2017
OTU45,S009971,1550,trapandbait
OTU226,S009971,248,trapandbait
OTU26,S009972,3230,trapandbait
OTU86,S009972,1684,trapandbait
OTU34,S009973,4830,trapandbait
OTU24,S009974,4112,trapandbait
OTU30,S009976,4620,trapandbait
OTU187,S009976,1692,trapandbait
OTU33,S009977,2667,trapandbait
OTU14,S009978,8960,trapandbait
OTU11,S009979,7983,trapandbait
OTU12,S009982,7120,trapandbait
NA,S009983,NA,NA
OTU9,S009984,8075,trapandbait
OTU21,S009987,1987,trapandbait
OTU259,S009987,288,trapandbait
OTU15,S009988,6965,trapandbait
OTU13,S009989,6573,trapandbait
OTU6,S009990,13643,trapandbait
OTU2,S009991,7269,trapandbait
NA,S009992,NA,NA
OTU7,S009993,9652,trapandbait
OTU46,S009995,742,trapandbait
OTU21,S009996,2884,trapandbait
OTU8,S009998,8316,trapandbait
OTU40,S009999,2248,trapandbait
OTU35,S009999,2079,trapandbait
OTU109,S009999,1112,trapandbait
OTU17,S012850,10115,fall2017
OTU7,S012851,18404,spring2018
OTU22,S012861,1698,spring2018
OTU17,S012862,2422,spring2018
OTU23,S012862,1056,spring2018
OTU6,S012863,19328,spring2018
OTU10,S012863,12125,spring2018
OTU11,S012863,7495,spring2018
OTU26,S012863,814,spring2018
OTU15,S012870,9488,fall2017
OTU33,S012871,7154,fall2017
OTU73,S012871,555,fall2017
OTU13,S012872,7226,fall2017
OTU7,S012873,13209,fall2017
OTU40,S012880,4093,fall2017
OTU50,S012880,1555,fall2017
OTU55,S012880,1298,fall2017
OTU59,S012880,1001,fall2017
OTU32,S012881,5753,fall2017
OTU47,S012881,1812,fall2017
OTU51,S012881,1599,fall2017
OTU78,S012881,554,fall2017
OTU38,S012882,4285,fall2017
OTU27,S012883,5865,fall2017
OTU10,S012884,15324,fall2017
OTU8,S012890,13907,fall2017
NA,S012891,NA,NA
OTU36,S012892,7700,fall2017
OTU20,S012893,8654,fall2017
OTU64,S012893,912,fall2017
OTU31,S012894,9363,fall2017
OTU65,S008821,10290,spring2017
OTU7,S012860,11227,fall2017
