OTU,ConsensusLineage,S008801,S008805,S008807,S008860,S008861,S008862,S008863,S008871,S008872,S008873,S008881,S008883,S008884,S008890,S008891,S008894,S008899,S009060,S009062,S009071,S009073,S009080,S009081,S009082,S009083,S009091,S009093,S009094,S009971,S009972,S009973,S009974,S009976,S009977,S009978,S009979,S009982,S009983,S009984,S009987,S009988,S009989,S009990,S009991,S009992,S009993,S009995,S009996,S009998,S009999,S010000,S010001,S010005,S010007,S010008,S010009,S010010,S010011,S010015,S010020,S010021,S010030,S010036,S010040,S010041,S010042,S010045,S010050,S010051,S010052,S010056,S010057,S010060,S010061,S010066,S010067,S010070,S010071,S010075,S010076,S010077,S010078,S010079,S010080,S010081,S010086,S010087,S010088,S010089,S010090,S010091,S010094,S010095,S010096,S010097,S010098,S010099,Sum
OTU1,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Panicum; s__Panicum miliaceum,4914,63,449,141,4040,11,488,169,78,216,4780,196,705,996,3452,0,151,151,2141,1928,2,207,234,1633,772,774,209,586,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,175,520,759,7695,2,358,474,193,1589,5033,0,418,725,4877,119,4789,1566,0,121,5847,4365,1,253,1,222,438,92,591,501,1109,525,3097,45,1790,4803,6,702,20,17,708,2688,876,1380,1117,2618,223,1603,94542
OTU4,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia leptoclada,1,500,230,0,0,3230,0,2400,0,1359,54,44,0,0,12,0,0,0,0,0,6310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,8087,0,0,0,0,341,0,0,303,0,0,3778,0,0,0,0,0,1,1,0,0,0,1511,0,0,30,1189,482,2027,0,366,2696,4183,0,0,0,1,6604,0,0,1871,0,2040,0,53,617,1,50327
OTU2,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus paysonii,0,195,0,971,201,25,162,170,193,464,0,38,471,0,328,0,42,12,0,2730,78,0,554,118,0,0,128,184,0,0,0,0,0,0,2,0,0,0,0,1,0,0,80,7269,0,0,0,1,0,0,0,93,762,0,245,561,0,0,2,0,0,0,0,0,1023,769,94,2374,1375,0,0,4771,28,201,0,2144,24,0,0,365,3405,0,30,0,0,516,52,56,3183,5463,1141,165,277,1640,202,361,1,45740
OTU3,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,1154,1362,2348,1379,17,32,780,1390,0,109,2277,1018,0,0,2481,1,0,1,3486,0,348,2,580,907,0,0,18,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,281,531,0,1424,173,0,0,3159,0,246,1967,0,95,0,2204,185,109,0,0,0,0,487,0,0,1337,0,5039,403,451,2814,1,17,0,0,1310,0,180,283,2,173,0,12,125,1,0,3,43397
OTU5,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Bouteloua; s__Bouteloua aristidoides,0,90,0,1,1517,0,0,0,618,0,0,2,99,1,0,0,45,0,0,124,250,0,0,0,0,0,3522,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,347,0,0,4,0,455,1418,0,0,1992,1,0,14,217,0,929,212,4889,0,0,1451,5,451,0,17,31,0,0,243,36,0,2427,0,0,890,0,1,143,79,0,72,0,282,0,0,1,22878
OTU54,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium cicutarium,35,334,489,911,5,6,506,138,0,70,447,196,0,0,301,0,0,0,510,0,59,1867,820,1496,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,219,17,0,1041,363,0,0,1359,0,1,238,0,7,18,980,64,110,0,0,0,0,82,0,0,443,0,510,157,620,1076,0,4,0,0,323,0,91,541,0,0,0,7,0,0,1,2,16523
OTU6,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Laennecia; s__Laennecia coulteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13645
OTU14,k__Eukaryota; p__Streptophyta; c__None; o__Malvales; f__Malvaceae; g__Sphaeralcea; s__Sphaeralcea incana,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,413,0,0,0,0,0,0,8960,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,10786
OTU7,k__Eukaryota; p__Streptophyta; c__None; o__Boraginales; f__Boraginaceae; g__Eremocarya; s__Eremocarya micrantha,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9652,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10372
OTU8,k__Eukaryota; p__Streptophyta; c__None; o__Ericales; f__Polemoniaceae; g__Gilia; s__Gilia mexicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8317
OTU9,k__Eukaryota; p__Streptophyta; c__None; o__Boraginales; f__Boraginaceae; g__Cryptantha; s__Cryptantha minima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8077
