OTU,ConsensusLineage,S012851,S012861,S012862,S012863,Sum
OTU7,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,18404,0,0,0,18404
OTU29,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,689,0,0,0,689
OTU32,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,355,0,0,0,355
OTU33,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,337,0,0,0,337
OTU38,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Cylindropuntia; s__Cylindropuntia ramosissima,210,0,0,0,210
OTU55,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,195,0,0,0,195
OTU84,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,142,0,0,0,142
OTU285,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Pereskiopsis; s__Pereskiopsis rotundifolia,126,0,0,0,126
OTU64,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,72,0,0,0,72
OTU95,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Cylindropuntia; s__Cylindropuntia ramosissima,68,0,0,0,68
OTU230,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,66,0,0,0,66
OTU134,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,60,0,0,0,60
OTU305,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,55,0,0,0,55
OTU131,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cubensis,47,0,0,0,47
OTU688,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cubensis,47,0,0,0,47
OTU287,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,44,0,0,0,44
OTU417,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,38,0,0,0,38
OTU748,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,38,0,0,0,38
OTU120,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,37,0,0,0,37
OTU93,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cochenillifera,30,0,0,0,30
OTU124,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia bella,30,0,0,0,30
OTU210,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,25,0,0,0,25
OTU111,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,24,0,0,0,24
OTU89,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia schickendantzii,23,0,0,0,23
OTU116,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,22,0,0,0,22
OTU202,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cubensis,21,0,0,0,21
OTU129,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Cylindropuntia; s__Cylindropuntia ramosissima,20,0,0,0,20
OTU838,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia bella,19,0,0,0,19
OTU458,k__Unclassified; p__Unclassified; c__Unclassified; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified,13,0,0,0,13
OTU219,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,13,0,0,0,13
OTU122,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,11,0,0,0,11
OTU452,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,10,0,0,0,10
OTU183,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,9,0,0,0,9
OTU797,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cubensis,9,0,0,0,9
OTU211,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cf. laevis FOS-2017,9,0,0,0,9
OTU606,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia cubensis,8,0,0,0,8
OTU413,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Cactaceae; g__Opuntia; s__Opuntia vaseyi,8,0,0,0,8
