OTU,ConsensusLineage,S012808,S012839,S012849,S012850,S012858,S012859,S012860,S012869,S012870,S012871,S012872,S012873,S012878,S012880,S012881,S012882,S012883,S012884,S012889,S012890,S012891,S012892,S012893,S012894,S013000,S013002,S013003,S013004,S013006,S013007,S013008,S013009,S013010,S013011,S013013,S013014,S013016,S013017,S013019,S013020,S013021,S013022,S013023,S013024,S013025,S013026,S013027,S013028,S013029,S013030,S013031,S013032,S013033,S013034,S013035,S013036,S013038,S013039,S013040,S013041,S013042,S013043,S013044,S013045,S013047,S013048,S013050,S013051,S013052,S013053,S013054,S013055,S013056,S013057,S013058,S013059,S013060,S013061,S013062,S013064,S013065,S013066,S013067,S013068,S013069,S013070,S013071,S013072,S013073,S013074,S013075,S013076,S013077,S013078,S013080,S013081,S013082,S013083,S013084,S013085,S013086,S013087,S013088,S013089,S013090,S013091,S013092,S013093,S013094,S013097,S013098,S013099,Sum
OTU1,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Panicum; s__Panicum miliaceum,1,3076,106,0,310,15,1,1135,2,2,0,1,3142,1,4,0,0,1,16223,12,10,0,2,2,0,2601,2081,4415,0,5447,0,11,484,9774,5665,0,607,6792,147,130,2,15,0,0,410,2540,1274,750,7397,2,1726,7565,277,63,168,157,53,40,15,12990,112,9020,0,22,12955,10,5722,1,0,362,13906,1269,34,105,480,220,3512,3,1215,0,110,748,0,106,7772,1,0,411,8458,0,8687,527,80,2,3080,6461,9053,56,16,1513,17,602,8394,64,1153,84,240,4,730,523,3549,255,209288
OTU2,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Physaria; s__Physaria gordonii,0,0,219,0,557,94,0,2566,0,1,0,1,2728,2,1,0,0,3,0,0,0,2,1,1,0,4,1,1217,0,1,0,0,624,1,6983,0,3410,0,7037,16,0,0,0,0,4140,2,9,0,2,19,5101,1098,934,1480,53,2382,41,3,1,0,36,1,0,0,10,243,62,0,0,2432,1,1,1,2,10737,3751,8000,1762,1,0,8989,2401,0,33,6473,26,0,142,1,1,33,0,6662,1,4203,1,1,101,0,9851,8323,20,0,0,2,1,0,1,0,46,2248,73,117408
OTU3,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Eriochloa; s__Eriochloa polystachya,19,2352,7525,0,2,2823,4,77,0,0,0,0,2,0,0,0,0,0,84,0,1,1,0,0,0,61,0,1276,0,1,0,511,0,3,0,2,986,0,5565,146,2,0,0,0,92,0,529,0,0,0,37,0,526,405,0,0,0,14183,0,1,0,1,0,7028,118,6930,23,2,0,0,0,0,23,0,0,11,3,1,1,0,259,0,3,1042,1,0,0,6,583,0,812,0,1,0,1,2,0,0,0,33,67,6916,0,0,0,42,0,3,940,0,0,0,62068
OTU4,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Chenopodiaceae; g__Chenopodium; s__Chenopodium acuminatum,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,2,0,0,0,0,3039,1237,0,0,1256,0,0,5806,418,1,0,0,0,1,161,1,30,1,0,1,3163,0,3495,1,0,6,0,1,1,22,2,0,0,1670,0,0,2,0,0,1,1,1,0,0,349,0,0,0,5436,202,5769,0,1,0,0,0,96,0,1775,0,1,0,570,0,0,1,10028,1,143,116,1,0,1,0,1,0,3,0,1,3952,0,1,0,0,3360,600,176,52909
OTU5,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Amaranthaceae; g__Amaranthus; s__Amaranthus spinosus,0,1,640,1,3867,58,0,2858,0,0,0,17,9,150,1,1,0,1,529,2,63,0,5,0,0,1,0,0,0,4400,0,0,0,0,15,88,101,1962,87,0,0,0,0,3,0,5465,12987,54,1064,0,0,2183,0,2,1166,107,0,0,0,1,0,0,0,128,1,20,1818,0,0,0,1,0,10,3,1,8,0,1,0,0,14,0,6,0,4,0,0,0,38,0,0,0,0,552,3,288,121,1,17,10,9,0,0,605,4,0,5170,0,30,1,3,1,46757
OTU9,k__Eukaryota; p__Streptophyta; c__None; o__Solanales; f__Convolvulaceae; g__Ipomoea; s__Ipomoea costellata,120,2,0,0,0,0,0,0,0,0,0,1,4572,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1832,0,1,1,0,0,0,1,0,1,0,307,0,0,0,0,0,0,0,0,1,0,0,0,0,5895,6948,6100,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3903,8611,0,0,0,1,0,0,0,0,0,40,338,0,6070,0,1,0,0,2,0,1,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,0,1,0,1,0,46006
OTU6,k__Eukaryota; p__Streptophyta; c__None; o__Fabales; f__Fabaceae; g__Astragalus; s__Astragalus xiphidioides,0,0,0,0,0,0,0,1,0,1,3,0,1,1,3,0,0,1,1,0,1,1,0,0,0,548,34,1,0,2209,0,608,0,7,0,0,0,0,0,1074,0,0,0,2,12,149,1,0,3525,1,0,0,152,0,0,0,0,0,3951,1,0,0,0,12,152,3117,0,0,6,0,0,1,24,1558,1571,1,0,571,0,0,21,557,0,18,234,88,0,1763,0,0,28,11,839,1947,0,0,0,0,8,0,0,4,2435,53,669,0,1,0,7209,1985,44,4874,42090
OTU7,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Eragrostis; s__Eragrostis cilianensis,0,1,2,1,0,1,11227,0,0,0,0,13209,0,27,35,14,0,13,0,1,797,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,25576
OTU8,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Digitaria; s__Digitaria californica,0,0,0,2,1,0,8,0,0,0,15,0,0,39,511,283,0,11,0,13907,10072,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,17,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,2,0,0,0,0,0,1,0,1,0,1,9,0,1,0,0,0,0,0,95,0,0,0,0,0,25031
OTU12,k__Eukaryota; p__Streptophyta; c__None; o__Asterales; f__Asteraceae; g__Gutierrezia; s__Gutierrezia wrightii,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0,1,0,15,17,0,0,0,0,0,127,0,0,0,0,0,2354,0,4,0,0,0,0,0,0,0,0,0,4,0,96,0,0,0,1,142,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2396,0,0,172,0,0,0,0,0,1170,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,1243,10164,0,0,0,0,0,0,17939
OTU10,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Chenopodiaceae; g__Atriplex; s__Atriplex powellii,0,0,0,0,7,0,21,0,0,2,0,0,0,185,4,1,0,15324,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17445
