"Sp.Code","Genus","Alt.Genus","Species","Alt.Species","subspecies","Common.Name","Family","Duration","Community"
"sita hyst","Elymus","Sitanion","elymoides","hystrix","","Squirreltail","Poaceae","Perennial","Perennials"
"sisy irio","Sisymbrium","","irio","","","London rocket","Brassicaceae","Annual","Winter Annuals"
"sida proc","Sida","","abutifolia","procumbens","","Spreading fanpetals","Malvaceae","Perennial","Perennial Forb"
"sida phys","Rhynchosida","Sida","physocalyx","","","Buffpetal","Malvaceae","Perennial","Subshrub"
"seta macr","Setaria","","macrostachya","","","Bristle grass","Poaceae","Perennial","Perennials"
"schi barb","Schismus","","barbatus","","","Mediterranean grass","Poaceae","Annual","Winter Annuals"
"sanv aber","Sanvitalia","","aberti","","","Abert's Creeping Zinnia","Asteraceae","Annual","Summer Annuals"
"sals kali","Kali","Salsola","tragus","kali","","Russian Thistle","Amaranthaceae","Annual","Summer Annuals"
"rume hyme","Rumex","","hymenosepalus","","","Desert dock","Polygonaceae","Perennial","Perennial Forb"
"rume alti","Rumex","","altissimus","","","Smooth dock","Polygonaceae","Perennial","Perennial Forb"
"pseu cane","Pseudognaphalium","","canescens","","","Wright's cudweed","Asteraceae","Annual","Winter and Summer Annuals"
"pros velu","Prosopis","","velutina","","","Velvet Mesquite","Leguminosae","Perennial","Shrub"
"pros glan","Prosopis","","glandulosa","","","Honey Mesquite","Leguminosae","Perennial","Shrub"
"prob parv","Proboscidea","","parviflora","","","Devil's Claw","Martyniaceae","Annual","Summer Annuals"
"port suff","Portulaca","","suffretescens","","","Shrubby purslane","Portulacaceae","Perennial","Subshrub"
"port parv","Portulaca","","halimoides","parvula","","Silkcotton Purslane","Portulacaceae","Annual","Summer Annuals"
"poly twee","Polygala","","tweedyi","","","Shrubby milkwort","Polygalaceae","Perennial","Subshrub"
"plan purs","Plantago","","patagonica","purshii","","Woolly plantain","Plantaginaceae","Annual","Winter Annuals"
"plag ariz","Plagiobothrys","","arizonicus","","","Arizona Popcornflower","Boraginaceae","Annual","Winter Annuals"
"pere nana","Perezia","Acourtia","nana","","","Dwarf desert holly","Asteraceae","Perennial","Perennial Forb"
"pect recu","Pectocarya","","recurvata","","","Curvenut combseed","Boraginaceae","Annual","Winter Annuals"
"pect papp","Pectis","","papposa","","","Manybristle Chinchweed","Asteraceae","Annual","Summer Annuals"
"part inca","Parthenium","","incanum","","","Mariola","Asteraceae","Perennial","Shrub"
"pani hirt","Panicum","","hirticaule","","","Mexican panicgrass","Poaceae","Annual","Summer and Winter Annuals"
"pani ariz","Brachiaria","Panicum","arizonica","","","Arizona Signalgrass","Poaceae","Annual","Summer Annuals"
"opun poly","Opuntia","","polyacantha","","","Plains pricklypear","Cactaceae","Perennial","Shrub"
"oeno prim","Oenothera","","primiveris","","","Desert evening primrose","Onagraceae","Annual","Winter Annuals"
"rume angu","Rumex","","crispus","angustifolium","","Curly dock","Polygonaceae","Perennial","Perennial Forb"
"nama hisp","Nama","","hispidum","","","Bristly nama","Boraginaceae","Annual","Winter Annuals"
"muhl port","Muhlenbergia","","porteri","","","Bush Muhly","Poaceae","Perennial","Perennials"
"moll vert","Mollugo","","verticillata","","","Green Carpetweed","Molluginaceae","Annual","Summer Annuals"
"moll cerv","Mollugo","","cerviana","","","Threadstem Carpetweed","Molluginaceae","Annual","Summer Annuals"
"micr lene","Uropappus","Microseris","lindleyi","lenearifolia","","Lindley's silverpuffs","Asteraceae","Annual","Winter Annuals"
"malv lepi","Malvella","","lepidota","","","Scurfy mallow","Malvaceae","Perennial","Perennial Forb"
"mala fend","Malacothrix","","fendleri","","","Fendler's desert dandelion","Asteraceae","Annual","Winter Annuals"
"mach tanr","Machaeranthera","","tanacetifoloia","","","Tansyleaf Tansyaster","Asteraceae","Annual","Summer Annuals"
"lycu phle","Lycurus","","phleoides","","","Wolf tail","Poaceae","Perennial","Perennials"
"lyci ande","Lycium","","andersonii","","","Anderson wolfberry","Solanaceae","Perennial","Shrub"
"lupi spar","Lupinus","","sparsiflorus","","","Coulter's lupine","Leguminosae","Annual","Winter Annuals"
"lupi conc","Lupinus","","concinnus","","","Bajada lupine","Leguminosae","Annual","Winter Annuals"
"lina texa","Nuttallanthus","Linaria","texanus","texana","","Texas toadflax","Plantaginaceae ","Annual","Winter Annuals"
"lina bige","Linanthus","","bigelovii","","","Bigelow's linanthus","Polemoniaceae","Annual","Winter Annuals"
"lesq gord","Physaria","Lesquerella","gordoni","","","Bladderpod","Brassicaceae","Annual","Winter Annuals"
"lepi lasi","Lepidium","","lasiocarpum","","","Shaggyfruit pepperweed","Brassicaceae","Annual","Winter Annuals"
"lapp redo","Lappula","","occidentalis","redowskii","","Flatspine stickseed","Boraginaceae","Annual","Winter Annuals"
"laen coul","Laennecia","","coulteri ","","","Coulter's Horseweed","Asteraceae","Annual","Winter and Summer Annuals"
"kall hirs","Kallstroemia","","hirsutissima","","","Hairy Caltrop","Zygophyllaceae","Annual","Summer Annuals"
"kall gran","Kallstroemia","","grandiflora","","","Arizona Poppy","Zygophyllaceae","Annual","Summer Annuals"
"kall cali","Kallstroemia","","californica","","","California Caltrop","Zygophyllaceae","Annual","Summer Annuals"
"ipom cost","Ipomoea","","costellata","","","Crestrib Morning Glory","Convolvulaceae","Annual","Summer Annuals"
"hoff dens","Hoffmanseggia","","glauca","densiflora","","Hog potato","Leguminosae","Perennial","Perennial Forb"
"hila muti","Hilaria","","mutica","","","Tobosa grass","Poaceae","Perennial","Perennials"
"hete suba","Heterotheca","","subaxillaris","","","Camphorweed","Asteraceae","Annual","Winter and Summer Annuals"
