"WeeTU","k","p","c","o","Family","Genus","SciName"
"4.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"9.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Camelina","Camelina sativa"
"17.WeeTU","Eukaryota","Streptophyta","None","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus terrestris"
"19.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Croton","Croton kongensis"
"7.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"13.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Descurainia","Descurainia sophia"
"10.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"8.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum"
"16.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"18.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Crotalaria","Crotalaria emirnensis"
"15.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Tenaxia","Tenaxia guillarmodiae"
"33.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"49.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Perezia","Perezia carthamoides"
"37.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"43.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Vachellia","Vachellia rehmanniana"
"26.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Chamaecrista","Chamaecrista nigricans"
"28.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Astragalus","Astragalus membranaceus"
"40.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"22.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"127.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Erigeron","Erigeron annuus"
"56.WeeTU","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya crymophila"
"29.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Alloteropsis","Alloteropsis semialata"
"23.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helichrysum","Helichrysum arenarium"
"50.WeeTU","Eukaryota","Streptophyta","None","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia maculata"
"35.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"55.WeeTU","Eukaryota","Streptophyta","None","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"63.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"21.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Dalea","Dalea weberbaueri"
"91.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"69.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"36.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Lamiaceae","Vitex","Vitex trifolia"
"30.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Gossypium","Gossypium raimondii"
"44.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Sigesbeckia","Sigesbeckia orientalis"
"45.WeeTU","Eukaryota","Streptophyta","None","Boraginales","Boraginaceae","Oreocarya","Oreocarya flavoculata"
"135.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"70.WeeTU","Eukaryota","Streptophyta","None","Myrtales","Onagraceae","Oenothera","Oenothera odorata"
"67.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"421.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Plantaginaceae","Plantago","Plantago minuta"
"54.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"756.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Archidendron","Archidendron dalatense"
"75.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"57.WeeTU","Eukaryota","Streptophyta","None","Lamiales","Acanthaceae","Clinacanthus","Clinacanthus nutans"
"39.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Lupinus","Lupinus sp. AT-2012"
"98.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"88.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Chenopodiaceae","Atriplex","Atriplex sp. Yeelirrie Station"
"64.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Sorghum","Sorghum bicolor"
"71.WeeTU","Eukaryota","Streptophyta","None","Caryophyllales","Polygonaceae","Rumex","Rumex japonicus"
"73.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"76.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"68.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Cichorium","Cichorium glandulosum"
"81.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Cichorium","Cichorium glandulosum"
"66.WeeTU","Eukaryota","Streptophyta","None","Malvales","Malvaceae","Lavatera","Lavatera cashemiriana"
"89.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Saccharum","Saccharum hybrid cultivar"
"116.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Xanthium","Xanthium sibiricum"
"77.WeeTU","Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon"
"97.WeeTU","Eukaryota","Streptophyta","None","Asterales","Asteraceae","Helianthus","Helianthus annuus"
"95.WeeTU","Eukaryota","Streptophyta","None","Fabales","Fabaceae","Senna","Senna occidentalis"
