#OTU ID,blank1..,blank2..,blank3.Joe.,NTC1..,NTC2..,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU150,0,0,0,4,2,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,0.862116041,0.086906062,0.566937644,0.011118566,0.939182237,0.135177453,0.017305777,0.614647502,0.013797116,0.906110927,0.822518775,0.048105321,0.388023439,0.953938773,0.341343723,0.792685888,0.301655757,0.8736309,0.913430646,0.949814238,0.008846349,0.436448876,0.522642193,0.410016491,0.917134831,0.970112991,0.403849679,0.020718495,0.953486784,0.004370716,0.960843113,0.180561878,0.001425917,0.88784565,0.001921742,0.230885312,0.397245147,0.934298908,0.693756884,0.676983386,0.33795767,0.846787248,0.743007143,0.201258283,0.932046643,0.00164535,0.636531979,23.85107644
OTU956,0,0,0,1,1,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; ; f__; g__; s__,0.044846416,0.62288367,0.042761148,0.699079843,0.002545356,0.191753653,0.706953436,0.191735113,0.724556373,0.031086018,0,0.756419883,0.332571102,0.00130652,0.435773131,0.044825493,0.327300732,0.04414681,0.015026942,8.99E-05,0.682184033,0.215880339,0.068469992,0.314117731,0,0.001844154,0.103849679,0.499334727,3.42E-05,0.745803119,0,0.562365871,0.130536231,0,0.002135269,0.55331992,0.133325584,0,0.042896064,0.195034534,0.452587672,0.011049335,0.007745933,0.157218392,0.000618601,0.749968956,0.01096814,10.85694995
OTU1199,0,1,0,1,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; ; f__; g__; s__,0.016382253,0.192586019,0.016540576,0.224647752,0.001678852,0.071189979,0.200759462,0.056125941,0.205502223,0.008269678,0,0.146943986,0.104759183,0.000512361,0.133093418,0.01138088,0.059453215,0.008512066,0.016494219,0,0.225980712,0.069281143,0.019079821,0.106833011,8.26E-05,0.000292723,0.032538955,0.149021099,3.42E-05,0.202344293,0,0.163978669,0.116147431,3.68E-05,0.001494689,0.163480885,0.049808206,0,0.010666048,0.06089229,0.142005253,0.003941164,0.002926242,0.06170939,0,0.201757109,0.003703528,3.262868313
OTU20237,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Hoffmannseggia; s__Hoffmannseggia_glauca; ,0,0.000409612,0,2.40E-05,0,0,0,0,0,0,0,0,0,0,0.00038664,0,0,0,0,0,0,0,0,0,0,0,0,0.000190078,0,0,0,0,0.704878365,0,0.944749907,0,0,0,0,0,0,0,0,0,0,0,0,1.650638564
OTU8142,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Eriochloa; ; s__,0,0,0,0,0.002274574,0,0,0.060774584,0.000955824,0,0,0,0.037587538,2.56E-05,0.004937097,0,0.27554871,0.036427983,0,0,0,0,0.11234553,3.59E-05,0,0,9.17E-05,0,0,9.93E-05,0,0,4.32E-05,0,0,0,0,0,0.150889803,0,0,0.029347597,0.190463895,0,0,0,0,0.901848805
OTU2648,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; ; g__; s__,0,0,0,0,0.010343894,0,0,0,0,0,0,0,0,0,0,0,0,0.000579675,0,0,0,0,0.052248118,0,0.012723067,0,0.260678277,0,0.00099037,0.000397338,0,0,0,0.007695423,0,0,0,0,0,0,0,0.060665775,0,0,0.027929851,0,0,0.434251787
OTU181,0,0,3626,0,0,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; ; s__,0.022730375,0.001433643,4.70E-05,0,0,0.005636743,0.000466882,2.85E-05,0,0,0.048192771,0,0,0,0,0,7.70E-05,0,0.005767917,0,0.019034153,0.000446495,0,0.046891805,0,0,0.037855179,0,0.001263575,0.000496672,0,0.009267087,4.32E-05,0.027578335,0,0,0.180576543,0,0,0,3.09E-05,0.004926455,0,0,0,0.000124177,9.50E-05,0.413010399
OTU58181,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_kenyensis; ,0,0,0.074808515,0,0,0.291336117,0.00656748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008066251,0,0,0,0,0,0,0,0,0.014086333,0,0.013398815,0,0,0,0,0,0,0,0,0,0,0,0,0.40826351
OTU776,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; ; g__; s__,0.005392491,0.000136537,0.00164466,4.79E-05,0.002599513,0.003653445,3.11E-05,0.001226329,4.16E-05,0.001727001,0.002107083,5.01E-05,0.000571674,0.001793262,0.000803022,0.001153263,0.00038506,0.001372914,0.001087809,0.002067354,7.25E-05,0.000818574,0.001086825,0.00333405,0.003222075,0.001112347,0.000366636,0.000380156,0.001946588,0.000298003,0.001816557,0.000227613,4.32E-05,0.002246033,0.000213527,0.000503018,0.000348716,0.00220403,0.001101385,0.001456039,0.000834235,0.000844535,0.001377055,0.330499967,0.001329993,6.21E-05,0.001851764,0.387489611
OTU252,0,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; ; f__; g__; s__,0,0.000955762,0.077017057,0,0,0.041127349,0,0,0.000374018,0,0,0,0,0,0.01326473,0,0.00038506,3.05E-05,0.006147385,0,0,0.072853103,0,0,0,0,0.002566453,0,0.000170753,0.000132446,0,0.001463224,0,0,0,0,0.015924677,0,0.006492377,0,0,0,0,0,0,0.001086552,0.111960496,0.351951952
OTU55764,1,0,0,0,0,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_oblita; ,0.010921502,0.005324959,0.007988346,0.00069491,0.010343894,0.002922756,0.002085408,0.008099475,0.002202552,0.009697775,0.014641526,0.002177504,0.006002573,0.009862944,0.014841031,0.006828528,0.003465537,0.009457852,0.007715854,0.008838686,0.000688855,0.007664831,0.005715896,0.014913601,0.012062128,0.007259528,0.014848763,0.000190078,0.010211051,9.93E-05,0.008823275,0.017428627,0.000216048,0.009720535,0.000427054,0.003521127,0.00709055,0.017527288,0.008811083,0.008437558,0.007600803,0.008726863,0.008692659,0.002208688,0.009557391,0.000465665,0.010825697,0.347848588
