#OTU ID,ConsensusLineage,S008801.Wisely,S008805.Wisely,S008807.Wisely,S008860.Wisely,S008861.Wisely,S008862.Wisely,S008863.Wisely,S008871.Wisely,S008872.Wisely,S008873.Wisely,S008881.Wisely,S008883.Wisely,S008884.Wisely,S008890.Wisely,S008891.Wisely,S008894.Wisely,S008899.Wisely,S009060.Wisely,S009062.Wisely,S009071.Wisely,S009073.Wisely,S009080.Wisely,S009081.Wisely,S009082.Wisely,S009083.Wisely,S009091.Wisely,S009093.Wisely,S009094.Wisely,S009971.Wisely,S009972.Wisely,S009973.Wisely,S009974.Wisely,S009976.Wisely,S009977.Wisely,S009978.Wisely,S009979.Wisely,S009982.Wisely,S009983.Wisely,S009984.Wisely,S009987.Wisely,S009988.Wisely,S009989.Wisely,S009990.Wisely,S009991.Wisely,S009992.Wisely,S009993.Wisely,S009995.Wisely,S009996.Wisely,S009998.Wisely,S009999.Wisely,S010000.Wisely,S010001.Wisely,S010005.Wisely,S010007.Wisely,S010008.Wisely,S010009.Wisely,S010010.Wisely,S010011.Wisely,S010015.Wisely,S010020.Wisely,S010021.Wisely,S010030.Wisely,S010036.Wisely,S010040.Wisely,S010041.Wisely,S010042.Wisely,S010045.Wisely,S010050.Wisely,S010051.Wisely,S010052.Wisely,S010056.Wisely,S010057.Wisely,S010060.Wisely,S010061.Wisely,S010066.Wisely,S010067.Wisely,S010070.Wisely,S010071.Wisely,S010075.Wisely,S010076.Wisely,S010077.Wisely,S010078.Wisely,S010079.Wisely,S010080.Wisely,S010081.Wisely,S010086.Wisely,S010087.Wisely,S010088.Wisely,S010089.Wisely,S010090.Wisely,S010091.Wisely,S010094.Wisely,S010095.Wisely,S010096.Wisely,S010097.Wisely,S010098.Wisely,S010099.Wisely
OTU14879,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__,0,3987,69,470,215,355,327,325,25,138,8,66,1840,29,3625,0,410,421,48,1756,536,39,5389,170,0,531,4403,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26712,0,0,0,1,0,0,781,2456,851,1,1797,3065,0,139,0,0,484,18,2,197,7527,105,619,583,2872,0,0,6653,238,4759,0,7191,500,155,0,2274,5819,1548,315,578,13,5625,6678,389,5494,7493,505,88,2653,2176,209,288,15
OTU252,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__; g__; s__,0,0,0,0,0,9,0,0,0,0,21,16,0,0,0,0,0,0,1,5,0,0,88,0,0,0,0,0,13873,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,122,0,0,0,0,0,0,0,0,15,67,35,0,0,42,0,0,0,0,0,0,0,0,0,0,165,0,194,57,65,0,0,0,0,64,0,0,8,0,0,4,0,0,11,1
OTU107132,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Salsoloideae; g__Kali; s__Kali_tragus,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,14353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,1,0,0,0,0,0,38,1,0,0
OTU18230,d__Viridiplantae; k__Streptophyta; p__rosids; c__Malvales; o__Malvaceae; f__Malvoideae; g__Hibiscus; s__Hibiscus_calyphyllus,0,0,47,0,1,0,11,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,1,12788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,1561,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1370,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__,221,0,4,156,104,0,0,985,108,798,0,43,50,1555,0,1,79,28,8,452,1,0,0,1038,23,54,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,37,223,0,0,224,50,780,0,9,167,24,0,30,212,8,12,66,291,0,27,0,190,3,1,197,439,321,0,23,0,397,13,19,195,13,358,105,0,1445,0,347,1996,0,357,16
OTU6465,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,1,433,0,0
OTU10320,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Atriplex; s__,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13510,0,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
OTU1859,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__,0,0,0,0,0,0,0,0,39,0,0,0,4,0,0,0,73,138,0,45,11,0,931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2642,0,0,137,0,0,0,0,0,298,0,0,0,0,0,4090,72,697,0,0,0,0,474,0,0,0,1,0,56,393,5,0,0,0,0,588,0,0,112,0,2010,0,17,0,0,2
OTU11951,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Cordiaceae; f__; g__Cordia; s__,1,0,6,2,0,0,2,0,2,1,1,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12717,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU61803,d__Viridiplantae; k__Streptophyta; p__asterids; c__Ericales; o__Polemoniaceae; f__; g__Linanthus; s__Linanthus_demissus,0,127,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
OTU16,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Brassica; s__Brassica_nigra,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,12123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16629,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Boraginaceae; f__; g__Cryptantha; s__,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11843,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU21728,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Plantaginaceae; f__; g__Plantago; s__,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,84,0,0,0,0,34,0,0,0,11491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU956,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__; g__; s__,2,62,474,8,23,3,813,0,7,30,407,840,12,0,8,0,8,22,89,0,212,951,0,6,1230,0,8,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,82,0,107,0,0,16,44,0,97,216,1466,0,0,25,0,183,50,71,29,10,110,24,1209,25,236,534,0,23,47,1,13,10,201,0,16,32,37,19,252,0,15,0,116,263,0
OTU7676,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Boraginaceae; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10792,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
OTU40319,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Boraginaceae; f__; g__Plagiobothrys; s__Plagiobothrys_arizonicus,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU75265,d__Viridiplantae; k__Streptophyta; p__rosids; c__Geraniales; o__Geraniaceae; f__; g__Erodium; s__Erodium_cicutarium,0,8,1139,0,0,50,0,0,0,23,2025,12,43,0,269,0,0,1,1264,4,20,2,24,15,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,517,30,0,318,0,0,0,373,0,6,1221,0,0,21,61,5,51,0,0,0,1,54,0,0,160,114,1639,0,337,211,17,35,69,0,0,0,126,0,0,0,0,4,0,0,0,0
OTU22826,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Ehretiaceae; f__; g__; s__,0,69,953,83,0,78,785,0,105,57,0,0,0,0,0,0,0,0,532,0,57,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,585,0,4768,0,212,0,138,0,77,0,18,0,0,0,0,0,134,0,0,402,92,2,0,43,0,0,0,0,82,618,22,0,0,0,0,0,0,0,0,0,302,0,0,0,0
OTU12618,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__; s__,0,0,345,0,0,1429,0,20,0,11,10,0,0,0,0,0,0,0,69,0,982,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235,1,0,0,0,0,0,0,71,0,0,1449,0,0,0,0,0,0,0,0,15,0,681,0,0,37,0,16,274,8,0,224,1780,0,0,0,0,1969,0,0,270,0,73,0,0,24,0
OTU20237,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Hoffmannseggia; s__Hoffmannseggia_glauca,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,0,9070,0,0,0,0,0
OTU79705,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; s__Bouteloua_aristidoides,0,585,0,0,842,0,0,0,57,0,0,3,297,0,0,1,2,11,3,24,98,0,0,0,0,0,1406,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,76,0,67,0,0,364,1,0,0,236,0,40,20,1812,0,0,66,23,289,0,47,0,0,0,214,244,0,1171,0,0,191,307,0,10,169,0,74,0,28,0,0,1
OTU29549,d__Viridiplantae; k__Streptophyta; p__asterids; c__Boraginales; o__Boraginaceae; f__; g__Myosotis; s__Myosotis_alpestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,748,7032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU52764,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Trisetum; s__Trisetum_flavescens,0,0,0,21,0,0,146,0,18,12,0,0,7,49,0,37,53,1618,0,7,0,97,40,0,4,1068,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,129,0,0,0,66,0,132,15,0,0,0,0,0,1,1468,116,289,140,539,0,3,44,0,63,0,0,0,0,0,0,0,0,23,0,2,0,0,1,116,1,0,112,0,0
OTU30817,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; s__Paspalum_notatum,0,0,0,115,0,0,0,1,214,25,6,0,463,0,0,149,11,30,0,23,0,0,0,13,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,938,1566,0,0,0,0,0,0,990,128,37,0,0,93,9,109,8,480,0,0,0,3,0,0,0,88,0,0,393,1,0,0,0,0,2,72,305,1,0,7,21,61,0,41,5
OTU2961,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Trifolium; s__,150,0,0,1,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,4144,0,0,0,0,54,0,0,0,13,25,0,0,14,0,0,0,1,0,0,0,0,0,0,34,1017,0,0,0,0,0,0,0,0,0,110,0,0,0,46,196,0,8,0
OTU932,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Avena; s__Avena_barbata,0,0,0,133,0,0,272,0,16,12,0,0,7,116,0,54,55,1037,1,0,0,156,12,0,21,849,0,388,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,15,44,0,101,42,0,0,0,0,0,0,1225,154,256,64,559,0,1,66,0,126,0,0,0,0,0,0,0,0,1,0,0,1,0,0,101,0,0,8,0,0
OTU107131,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__; g__Eriogonum; s__Eriogonum_abertianum,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,241,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,463,0,1,0,0,0,0,0,0,506,0,0,0,0,0,0,0
OTU56336,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Macropodium; s__Macropodium_pterospermum,0,3,0,0,304,0,0,0,46,31,0,4,0,0,30,0,9,8,3,1,7,4,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,254,0,3,270,0,0,23,0,0,386,84,0,0,917,0,0,3,87,0,0,32,7,946,3,1,2,101,6,214,0,131,3,0,2,0,554,1,1,410,12,3,45,0,0,97,0
OTU58181,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_kenyensis,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,34,47,1,30,3,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,1,37,0,0,0,0,0,151,0,0,0,0,0,1586,30,216,0,0,0,0,166,0,0,0,0,0,34,190,3,0,0,0,0,306,0,0,35,0,679,0,7,0,0,4
