#OTU ID,ConsensusLineage,S008801.Wisely,S008805.Wisely,S008807.Wisely,S008860.Wisely,S008861.Wisely,S008862.Wisely,S008863.Wisely,S008871.Wisely,S008872.Wisely,S008873.Wisely,S008881.Wisely,S008883.Wisely,S008884.Wisely,S008890.Wisely,S008891.Wisely,S008894.Wisely,S008899.Wisely,S009060.Wisely,S009062.Wisely,S009071.Wisely,S009073.Wisely,S009080.Wisely,S009081.Wisely,S009082.Wisely,S009083.Wisely,S009091.Wisely,S009093.Wisely,S009094.Wisely,S009971.Wisely,S009972.Wisely,S009973.Wisely,S009974.Wisely,S009976.Wisely,S009977.Wisely,S009978.Wisely,S009979.Wisely,S009982.Wisely,S009983.Wisely,S009984.Wisely,S009987.Wisely,S009988.Wisely,S009989.Wisely,S009990.Wisely,S009991.Wisely,S009992.Wisely,S009993.Wisely,S009995.Wisely,S009996.Wisely,S009998.Wisely,S009999.Wisely,S010000.Wisely,S010001.Wisely,S010005.Wisely,S010007.Wisely,S010008.Wisely,S010009.Wisely,S010010.Wisely,S010011.Wisely,S010015.Wisely,S010020.Wisely,S010021.Wisely,S010030.Wisely,S010036.Wisely,S010040.Wisely,S010041.Wisely,S010042.Wisely,S010045.Wisely,S010050.Wisely,S010051.Wisely,S010052.Wisely,S010056.Wisely,S010057.Wisely,S010060.Wisely,S010061.Wisely,S010066.Wisely,S010067.Wisely,S010070.Wisely,S010071.Wisely,S010075.Wisely,S010076.Wisely,S010077.Wisely,S010078.Wisely,S010079.Wisely,S010080.Wisely,S010081.Wisely,S010086.Wisely,S010087.Wisely,S010088.Wisely,S010089.Wisely,S010090.Wisely,S010091.Wisely,S010094.Wisely,S010095.Wisely,S010096.Wisely,S010097.Wisely,S010098.Wisely,S010099.Wisely
OTU14879,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__,0,3987,69,470,215,355,327,325,25,138,8,66,1840,29,3625,0,410,421,48,1756,536,39,5389,170,0,531,4403,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26712,0,0,0,1,0,0,781,2456,851,1,1797,3065,0,139,0,0,484,18,2,197,7527,105,619,583,2872,0,0,6653,238,4759,0,7191,500,155,0,2274,5819,1548,315,578,13,5625,6678,389,5494,7493,505,88,2653,2176,209,288,15
OTU150,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__; g__; s__,5236,219,2083,80,7587,47,539,487,1,98,3039,303,1492,235,6768,0,89,249,2603,984,13,167,1441,1339,87,655,773,253,0,1,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,1931,668,1,1,1426,411,112,1093,2971,3,2820,623,14250,205,2095,1429,0,52,6048,3208,0,522,5,105,4213,1941,1393,600,1017,1713,3475,28,3547,3523,4,3756,45,167,2047,5830,416,2709,17,5723,454,11181
OTU763,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__; s__,24,407,3492,115,228,49,7592,0,76,304,3117,5965,117,0,129,0,73,176,670,0,2496,6020,0,106,10358,0,80,2174,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1635,533,0,788,0,0,91,353,2,785,1925,10197,30,0,205,10,1236,507,579,288,102,1108,173,8423,173,1635,3993,0,132,414,24,119,102,1511,0,115,476,273,153,2147,2,153,1,803,2246,2
OTU666,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; s__,848,1,10,381,168,0,0,4011,241,2900,0,101,246,7744,0,17,214,15,34,1433,5,0,0,3104,35,259,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,311,222,264,0,0,660,514,2440,0,47,371,91,0,140,588,12,52,114,1124,0,49,0,466,6,0,1418,1010,1096,0,126,0,894,100,18,929,70,733,420,1,4372,1,1009,8142,0,711,44
OTU61757,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_polaris,0,1545,22,182,81,150,100,139,8,66,7,37,703,19,1308,0,171,162,18,730,220,15,2220,66,0,181,1781,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5826,0,0,0,0,0,0,331,860,370,0,765,1508,0,74,0,0,199,3,0,72,3024,33,219,182,966,0,0,2309,93,1759,0,2630,224,38,0,801,2368,586,133,222,4,2214,2636,162,2046,2506,172,38,1076,1072,62,142,3
OTU94346,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_crispus,0,193,89,1160,1988,161,0,522,0,34,173,16,1279,195,0,0,1317,69,610,0,32,153,332,1957,465,0,701,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,310,361,607,222,1380,189,0,612,914,1,651,79,2249,0,3502,1966,7,909,0,50,46,73,447,0,749,2,0,138,0,68,23,299,37,134,514,31,587,1059,1599,31,1155,816,1489,4153,0
OTU11466,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Descurainia; s__,0,0,1808,0,0,5224,1,59,0,40,95,0,0,0,0,0,0,0,236,0,3909,0,0,0,1,0,0,69,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,779,10,0,0,0,1,0,0,218,0,0,5844,1,0,0,0,0,0,0,2,38,0,2409,2,0,124,0,62,856,17,0,622,6277,0,0,0,0,7405,1,0,1285,0,350,0,0,68,0
OTU1447,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__; s__,1232,71,804,24,1602,27,291,216,25,162,854,134,401,122,1719,0,20,59,523,445,8,39,292,363,70,223,261,80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,672,267,0,0,314,97,22,552,564,0,1111,249,2562,78,483,496,0,24,1263,644,1,200,4,43,1444,1417,453,140,380,590,863,6,812,796,0,1216,30,54,785,1886,225,924,3,1695,159,1787
OTU361,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Avena; s__,0,0,0,204,0,0,706,0,97,86,0,0,65,365,0,379,318,6096,0,0,0,1038,180,0,82,3616,0,1133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,350,0,971,107,0,0,0,0,0,0,6705,632,1988,482,2596,0,12,308,0,1036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,519,1,1,0,0,0
OTU97283,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Digitaria; s__Digitaria_ischaemum,104,93,120,125,426,18,142,221,87,165,64,3,622,610,534,125,58,1233,121,210,22,92,139,238,24,1234,297,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,7,404,502,655,230,107,1190,193,419,275,297,350,391,151,50,71,548,1127,485,591,109,652,53,186,55,379,886,56,875,162,180,222,401,384,46,52,578,83,162,314,293,149,351,627,222,84,147
OTU393,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__; s__,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,12280,0,0,0,0,0,0,10572,0,0,1,0,0,0,0,0,0,0,2,2,3,0,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
OTU1284,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lupinus; s__,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,895,3,0,1,22,2,0,0,87,0,0,100,0,0,0,0,20039,0,13,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,105,47,0,0,0,0,14,0,0,0,0,0,0,0,0,43,0,46,0,0,0,0,0,0,0,2,30,24,0,11,0
OTU598,d__Viridiplantae; k__Streptophyta; p__asterids; c__Solanales; o__Solanaceae; f__Solanoideae; g__Lycium; s__,0,0,0,1906,0,0,0,0,1738,0,0,0,51,0,0,0,11,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,38,0,0,0,1,0,0,0,0,17,489,6482,0,0,198,0,4544,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU6667,d__Viridiplantae; k__Streptophyta; p__asterids; c__Ericales; o__Polemoniaceae; f__; g__Gilia; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16864,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU54932,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Asteroideae; g__Senecio; s__Senecio_doronicum,0,0,4,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,426,8,0,0,0,329,783,0,12212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,96,0,1,0,1,0,469,0,0,0,7,16,0,0,0,0,0,1215,0,0,0,0,1,0,0,0,0,0
OTU102761,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__Chenopodioideae; g__Atriplex; s__Atriplex_gmelinii,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,3606,0,0,0,0,0,0,0,10625,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0,0,0,0,63,505,1,0,1,0,0,0,0,0
