OTU,ConsensusLineage,S008802,S008803,S008804,S008806,S008810,S008811,S008812,S008813,S008814,S008815,S008816,S008817,S009070,S009072,S009092,S010002,S010003,S010004,S010012,S010013,S010014,S010019,S010022,S010024,S010029,S010031,S010032,S010033,S010035,S010038,S010043,S010044,S010046,S010049,S010053,S010058,S010059,S010063,S010068,S010069,S010072,S010074,S010082,S010084,S010085,S010092,Sum
OTU51,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,1,0,1,1,8,0,0,0,0,1,2,0,0,2,0,0,0,2,0,1,1,1,0,2,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,44,1,1,1,0,0,0,76
OTU25664,d__Viridiplantae; k__Streptophyta; p__rosids; c__Rosales; o__Urticaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU95346,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lotus; s__Lotus_unifoliolatus;,1,0,1,1,0,0,2,0,0,0,1,2,1,0,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,1,336,0,212,0,1,0,0,0,0,572
OTU33775,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Casuarinaceae; f__; g__Casuarina; s__Casuarina_equisetifolia;,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
OTU150,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; ; f__; g__; s__,2292,1350,601,13665,3015,15910,2474,9166,1422,5716,65,858,2333,4648,5881,1454,2305,1343,1400,22859,2777,740,4652,6654,3339,4123,9053,782,1351,7611,78,20067,1077,9618,76,12329,597,5549,4161,8120,17,4893,119,293,250,292,207375
OTU763,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,6872,8007,8929,2692,16642,144,10040,2157,2,7,1362,5641,3124,2000,1736,8444,1813,1953,4803,500,9129,0,372,7999,7210,804,707,510,3329,6341,154,734,1109,110,59,426,44,472,408,188,236,8118,8573,4250,5,5415,153570
OTU409,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,8,2,82,20,14,42,6,7,2,10,0,1,6,14,16,8,2,4,3,69,13,1,16,8,9,7,23,1,5,20,0,50,2,21,0,34,3,15,25,41,0,7,0,2,0,2,621
OTU77765,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; g__Triticum; s__Triticum_aestivum;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU419,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Pooideae; ; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU3090,d__Viridiplantae; k__Streptophyta; p__asterids; c__Lamiales; o__Oleaceae; ; f__; g__; s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10453,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Fallopia; ; s__,7109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,7235
