OTU,ConsensusLineage,S008824,S008825,S008826,S008827,S008834,S008835,S008836,S008837,S008844,S008845,S008846,S008847,S008854,S008855,S008856,S008857,S009020,S009021,S009022,S009023,S009030,S009032,S009033,S009040,S009041,S009042,S009043,S009050,S009051,S009052,S009053,S009064,S009065,S009066,S009067,S009074,S009075,S009076,S009077,S009084,S009085,S009086,S009087,S009090,S009095,S009096,S009097,Sum
OTU35295,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__; g__Eriogonum; s__Eriogonum_umbellatum;,1,16,0,346,1,0,12,0,40,0,476,81,97,0,0,0,0,1,0,0,0,0,1511,0,0,0,130,0,0,16,0,0,1,431,0,0,1,0,1,354,0,0,0,2588,1,1,0,366175
OTU96376,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Amaranthaceae; f__; g__Amaranthus; s__Amaranthus_greggii;,0,0,0,1,0,0,0,159,0,18,0,0,0,0,0,0,2,0,0,0,105,0,1516,310,0,0,0,440,0,8,0,0,0,0,0,0,968,0,746,0,0,10,220,0,0,0,0,316448
OTU26338,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,18,244,23,704,2,67,494,140,427,23,0,478,58,1,325,39,68,18,35,0,561,81,57,244,0,1,37,79,1,467,0,408,100,0,0,35,101,0,20,95,353,4,2,116,0,498,5,301149
OTU8497,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; ; s__,2,137,10,0,0,734,24,8,0,4,13,1,1,12,8,4,1,4,2,2,18,1017,1,143,0,0,2,188,3,1,1,3,8,150,100,0,102,66,1,1,3,1,1,249,19,0,46,279450
OTU16072,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,18,292,17,453,2,92,343,169,212,83,0,342,76,8,414,58,55,107,48,0,301,86,28,350,0,7,53,175,0,294,0,399,42,0,0,10,74,0,39,146,267,16,6,32,2,305,8,272519
OTU2259,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,129,8,93,6,138,7,3,175,3,281,203,5,24,343,110,273,25,169,275,314,1,60,124,107,90,180,28,0,182,1,322,47,0,242,0,2,70,100,84,158,167,120,71,38,225,2,148,236134
OTU14879,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,0,7,1831,0,0,438,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,230123
OTU79705,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Bouteloua; s__Bouteloua_aristidoides;,0,77,2,1,0,469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,45,0,62,0,0,0,130,0,2,0,0,10,70,140,0,4,48,0,0,0,0,0,249,0,0,37,133501
OTU18608,d__Viridiplantae; k__Streptophyta; p__; c__Nymphaeales; o__Nymphaeaceae; f__; g__Nymphaea; ; s__,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1964,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,127928
OTU24731,d__Viridiplantae; k__Streptophyta; p__Pinidae; c__Pinales; o__Pinaceae; f__; g__Pinus; s__Pinus_luchuensis;,6,2,0,0,0,2,1,0,0,0,29,0,0,0,0,0,0,0,16,0,21,0,0,53,0,0,14,0,5,6,0,15,0,21,0,0,108,0,0,0,0,4,0,0,0,0,1876,115724
