"OTU.ID","Sample","Reads"
"OTU23","S008809",1
"OTU21","S008809",1
"OTU25","S008809",30635
"OTU35","S008809",3
"OTU56","S008809",4
"OTU62","S008809",2
"OTU173","S008809",1
"OTU121","S008809",649
"OTU80","S008809",6
"OTU86","S008809",15
"OTU172","S008809",1
"OTU12400","S008809",1
"OTU133","S008809",4
"OTU886","S008809",1
"OTU9657","S008809",4
"OTU556","S008809",4
"OTU13454","S008809",2
"OTU8517","S008809",1
"OTU9904","S008809",1
"OTU1767","S008809",28
"OTU136","S008809",3
"OTU3143","S008809",1
"OTU4965","S008809",7
"OTU11439","S008809",6
"OTU9795","S008809",1
"OTU5450","S008809",5
"OTU4299","S008809",5
"OTU4715","S008809",5
"OTU6567","S008809",4
"OTU6104","S008809",4
"OTU5516","S008809",4
"OTU6743","S008809",4
"OTU4914","S008809",4
"OTU8668","S008809",4
"OTU12959","S008809",3
"OTU9785","S008809",3
"OTU6130","S008809",3
"OTU10974","S008809",3
"OTU5781","S008809",3
"OTU6994","S008809",3
"OTU15093","S008809",3
"OTU9311","S008809",3
"OTU7876","S008809",3
"OTU11706","S008809",3
"OTU6399","S008809",3
"OTU11628","S008809",3
"OTU7227","S008809",3
"OTU6635","S008809",3
"OTU6663","S008809",3
"OTU13722","S008809",3
"OTU15469","S008809",3
"OTU8289","S008809",3
"OTU11035","S008809",3
"OTU6868","S008809",3
"OTU5730","S008809",3
"OTU9008","S008809",3
"OTU13383","S008809",3
"OTU11356","S008809",2
"OTU12612","S008809",2
"OTU12252","S008809",2
"OTU11722","S008809",2
"OTU9444","S008809",2
"OTU13071","S008809",2
"OTU9681","S008809",2
"OTU14902","S008809",2
"OTU12001","S008809",2
"OTU11529","S008809",2
"OTU15511","S008809",2
"OTU16060","S008809",2
"OTU8521","S008809",2
"OTU8394","S008809",2
"OTU9308","S008809",2
"OTU9452","S008809",2
"OTU11654","S008809",2
"OTU12304","S008809",2
"OTU9656","S008809",2
"OTU13753","S008809",2
"OTU10342","S008809",2
"OTU14253","S008809",2
"OTU8903","S008809",2
"OTU11524","S008809",2
"OTU16110","S008809",2
"OTU9613","S008809",2
"OTU8879","S008809",2
"OTU8940","S008809",2
"OTU9087","S008809",2
"OTU16287","S008809",2
"OTU11615","S008809",2
"OTU9667","S008809",2
"OTU15668","S008809",2
"OTU12232","S008809",2
"OTU10692","S008809",2
"OTU11229","S008809",2
"OTU10908","S008809",2
"OTU14240","S008809",2
"OTU14224","S008809",2
"OTU13788","S008809",2
"OTU12750","S008809",2
"OTU11088","S008809",2
"OTU9211","S008809",2
"OTU14962","S008809",2
"OTU12540","S008809",2
"OTU15498","S008809",2
"OTU13749","S008809",2
"OTU13765","S008809",2
"OTU9367","S008809",2
"OTU11827","S008809",2
"OTU14605","S008809",2
"OTU10008","S008809",2
"OTU7794","S008809",2
"OTU13028","S008809",2
"OTU12725","S008809",2
"OTU17131","S008809",2
"OTU10040","S008809",2
"OTU13819","S008809",2
"OTU14512","S008809",2
"OTU12792","S008809",2
"OTU9555","S008809",2
"OTU14838","S008809",2
"OTU11891","S008809",2
"OTU8268","S008809",2
"OTU12533","S008809",2
"OTU15075","S008809",2
"OTU8303","S008809",2
"OTU12728","S008809",2
"OTU13861","S008809",2
"OTU11068","S008809",2
"OTU10551","S008809",2
"OTU17151","S008809",2
"OTU11913","S008809",2
"OTU16630","S008809",2
"OTU9018","S008809",2
"OTU16146","S008809",2
"OTU9029","S008809",2
"OTU15200","S008809",2
"OTU14260","S008809",2
"OTU16467","S008809",2
"OTU2369","S008809",1
"OTU14483","S008809",1
"OTU16912","S008809",1
"OTU3687","S008809",1
"OTU1","S008818",1
"OTU2","S008818",1
"OTU19","S008818",32461
"OTU21","S008818",1
"OTU69","S008818",1
"OTU12400","S008818",1
"OTU12231","S008818",1
"OTU9657","S008818",1
"OTU7505","S008818",1
"OTU9904","S008818",1
"OTU8724","S008818",1
"OTU4288","S008818",7
"OTU4576","S008818",6
"OTU6009","S008818",4
"OTU5828","S008818",4
"OTU5315","S008818",4
"OTU5284","S008818",4
"OTU4878","S008818",4
"OTU6760","S008818",4
"OTU10344","S008818",3
"OTU11696","S008818",3
"OTU5867","S008818",3
"OTU15914","S008818",3
"OTU6021","S008818",3
"OTU15035","S008818",3
"OTU14179","S008818",3
"OTU5695","S008818",3
"OTU9218","S008818",3
"OTU5754","S008818",3
"OTU7141","S008818",3
"OTU6929","S008818",3
"OTU10774","S008818",3
"OTU15236","S008818",3
"OTU10804","S008818",3
"OTU13570","S008818",3
"OTU5685","S008818",3
"OTU15290","S008818",3
"OTU15780","S008818",3
"OTU8439","S008818",2
"OTU9100","S008818",2
"OTU15080","S008818",2
"OTU16822","S008818",2
"OTU13081","S008818",2
"OTU8553","S008818",2
"OTU9222","S008818",2
"OTU9318","S008818",2
"OTU7869","S008818",2
"OTU10809","S008818",2
"OTU15539","S008818",2
"OTU15083","S008818",2
"OTU11797","S008818",2
"OTU7789","S008818",2
"OTU10437","S008818",2
"OTU14577","S008818",2
"OTU16992","S008818",2
"OTU11802","S008818",2
"OTU16077","S008818",2
"OTU16533","S008818",2
"OTU15622","S008818",2
"OTU14531","S008818",2
"OTU12326","S008818",2
"OTU8471","S008818",2
"OTU12600","S008818",2
"OTU10912","S008818",2
"OTU11070","S008818",2
"OTU14219","S008818",2
"OTU16224","S008818",2
"OTU12455","S008818",2
"OTU11313","S008818",2
"OTU10441","S008818",2
"OTU12239","S008818",2
"OTU10367","S008818",2
"OTU11279","S008818",2
"OTU16578","S008818",2
"OTU16462","S008818",2
"OTU16879","S008818",2
"OTU14476","S008818",2
"OTU15395","S008818",2
"OTU10734","S008818",2
"OTU11383","S008818",2
"OTU16277","S008818",2
"OTU16728","S008818",2
"OTU10910","S008818",2
"OTU15074","S008818",2
"OTU15438","S008818",2
"OTU15541","S008818",2
"OTU10813","S008818",2
"OTU14009","S008818",2
"OTU7782","S008818",2
"OTU10970","S008818",2
