"OTU.ID","Sample","Reads"
"OTU10049","S008818",2
"OTU14884","S008818",2
"OTU10232","S008818",2
"OTU14967","S008818",2
"OTU12659","S008818",2
"OTU8649","S008818",2
"OTU9273","S008818",2
"OTU8309","S008818",2
"OTU15340","S008818",2
"OTU7769","S008818",2
"OTU12736","S008818",2
"OTU15227","S008818",2
"OTU16909","S008818",2
"OTU8285","S008818",2
"OTU7720","S008818",2
"OTU16787","S008818",2
"OTU12939","S008818",2
"OTU11901","S008818",2
"OTU7962","S008818",2
"OTU9941","S008818",2
"OTU8761","S008818",2
"OTU11764","S008818",2
"OTU13430","S008818",2
"OTU5","S008819",1
"OTU24","S008819",1
"OTU49","S008819",1
"OTU13","S008819",1
"OTU61","S008819",17650
"OTU12400","S008819",1
"OTU12231","S008819",1
"OTU13454","S008819",1
"OTU7505","S008819",1
"OTU8839","S008819",2
"OTU8892","S008819",4
"OTU12539","S008819",4
"OTU6622","S008819",4
"OTU16051","S008819",3
"OTU12125","S008819",3
"OTU16881","S008819",3
"OTU5932","S008819",3
"OTU12842","S008819",3
"OTU10056","S008819",3
"OTU12428","S008819",2
"OTU13577","S008819",2
"OTU8096","S008819",2
"OTU9245","S008819",2
"OTU11967","S008819",2
"OTU14075","S008819",2
"OTU12109","S008819",2
"OTU13932","S008819",2
"OTU12893","S008819",2
"OTU13801","S008819",2
"OTU13961","S008819",2
"OTU16378","S008819",2
"OTU11970","S008819",2
"OTU16700","S008819",2
"OTU15486","S008819",2
"OTU15497","S008819",2
"OTU15138","S008819",2
"OTU10535","S008819",2
"OTU10035","S008819",2
"OTU12807","S008819",2
"OTU9235","S008819",2
"OTU14846","S008819",2
"OTU9645","S008819",2
"OTU10610","S008819",2
"OTU8192","S008819",2
"OTU13432","S008819",2
"OTU14708","S008819",1
"OTU12487","S008819",1
"OTU9661","S008819",1
"OTU9049","S008819",1
"OTU14473","S008819",1
"OTU15575","S008819",1
"OTU11352","S008819",1
"OTU12967","S008819",1
"OTU9768","S008819",1
"OTU20","S008820",1
"OTU24","S008820",1
"OTU32","S008820",19378
"OTU35","S008820",2
"OTU12231","S008820",1
"OTU7505","S008820",2
"OTU4954","S008820",1
"OTU5177","S008820",1
"OTU6675","S008820",4
"OTU4479","S008820",5
"OTU5449","S008820",3
"OTU7229","S008820",4
"OTU8745","S008820",3
"OTU15743","S008820",3
"OTU6838","S008820",3
"OTU6010","S008820",3
"OTU13590","S008820",2
"OTU8564","S008820",2
"OTU6427","S008820",2
"OTU9011","S008820",2
"OTU10153","S008820",2
"OTU14137","S008820",2
"OTU6257","S008820",2
"OTU5666","S008820",1
"OTU11506","S008820",1
"OTU10010","S008820",1
"OTU10164","S008820",1
"OTU6585","S008820",1
"OTU8117","S008820",2
"OTU8005","S008820",2
"OTU16020","S008820",2
"OTU15569","S008820",2
"OTU11653","S008820",2
"OTU14625","S008820",2
"OTU14434","S008820",2
"OTU12551","S008820",2
"OTU10453","S008820",2
"OTU8244","S008820",2
"OTU8967","S008820",2
"OTU10599","S008820",2
"OTU10292","S008820",2
"OTU13286","S008820",2
"OTU12898","S008820",2
"OTU7687","S008820",1
"OTU15063","S008820",1
"OTU11588","S008820",1
"OTU16241","S008820",1
"OTU11462","S008820",1
"OTU15865","S008820",1
"OTU11694","S008820",1
"OTU13938","S008820",1
"OTU11133","S008820",1
"OTU7809","S008820",1
"OTU9764","S008820",1
"OTU14172","S008820",1
"OTU15518","S008820",1
"OTU10005","S008820",1
"OTU13102","S008820",1
"OTU8960","S008820",1
"OTU2","S008821",1
"OTU26","S008821",1
"OTU29","S008821",1
"OTU31","S008821",1
"OTU44","S008821",1
"OTU46","S008821",23407
"OTU52","S008821",1
"OTU61","S008821",1
"OTU420","S008821",126
"OTU12400","S008821",2
"OTU223","S008821",1
"OTU12231","S008821",2
"OTU13454","S008821",2
"OTU13545","S008821",2
"OTU8839","S008821",1
"OTU9904","S008821",1
"OTU2260","S008821",22
"OTU3774","S008821",7
"OTU3925","S008821",6
"OTU7292","S008821",4
"OTU11709","S008821",3
"OTU9592","S008821",3
"OTU7406","S008821",3
"OTU9836","S008821",3
"OTU12141","S008821",3
"OTU5858","S008821",3
"OTU5777","S008821",3
"OTU15919","S008821",3
"OTU12794","S008821",3
"OTU7301","S008821",3
"OTU16808","S008821",3
"OTU8399","S008821",3
"OTU17035","S008821",3
"OTU6545","S008821",3
"OTU9857","S008821",3
"OTU10742","S008821",3
"OTU6451","S008821",3
"OTU8656","S008821",3
"OTU15793","S008821",3
"OTU8275","S008821",3
"OTU15194","S008821",3
"OTU11132","S008821",3
"OTU8278","S008821",3
"OTU8692","S008821",2
"OTU8593","S008821",2
"OTU16288","S008821",2
"OTU13044","S008821",2
"OTU8591","S008821",2
"OTU9712","S008821",2
"OTU14437","S008821",2
"OTU8482","S008821",2
"OTU7944","S008821",2
"OTU7741","S008821",2
"OTU12205","S008821",2
"OTU13673","S008821",2
"OTU16183","S008821",2
"OTU12102","S008821",2
"OTU9542","S008821",2
"OTU9648","S008821",2
"OTU13967","S008821",2
"OTU7681","S008821",2
"OTU9299","S008821",2
"OTU12322","S008821",2
"OTU8701","S008821",2
"OTU10807","S008821",2
"OTU10448","S008821",2
"OTU10310","S008821",2
"OTU10962","S008821",2
"OTU8676","S008821",2
"OTU13852","S008821",2
"OTU9066","S008821",2
"OTU16021","S008821",2
"OTU14169","S008821",2
"OTU8625","S008821",2
"OTU8841","S008821",2
"OTU16015","S008821",1
"OTU8351","S008821",2
"OTU11651","S008821",2
"OTU10575","S008821",2
"OTU8384","S008821",2
"OTU15391","S008821",2
"OTU9495","S008821",2
"OTU7811","S008821",2
"OTU16384","S008821",2
"OTU9397","S008821",2
"OTU13561","S008821",2
"OTU8015","S008821",2
"OTU10913","S008821",2
"OTU14543","S008821",2
"OTU11391","S008821",2
"OTU17098","S008821",2
"OTU17110","S008821",2
"OTU12608","S008821",2
"OTU8726","S008821",2
"OTU9570","S008821",2
"OTU7694","S008821",2
"OTU12471","S008821",2
"OTU9854","S008821",2
"OTU9861","S008821",2
"OTU16767","S008821",2
"OTU16491","S008821",2
"OTU10720","S008821",2
"OTU9631","S008821",2
"OTU10715","S008821",2
"OTU15214","S008821",2
"OTU8700","S008821",2
"OTU1","S008822",1
"OTU7","S008822",1
"OTU14","S008822",1
"OTU32","S008822",1
"OTU31","S008822",27417
"OTU55","S008822",1
"OTU65","S008822",1
"OTU2423","S008822",631
"OTU3144","S008822",452
"OTU280","S008822",107
"OTU3133","S008822",84
"OTU12231","S008822",1
"OTU9657","S008822",2
"OTU704","S008822",1
"OTU8839","S008822",1
"OTU6346","S008822",58
"OTU7612","S008822",56
"OTU4461","S008822",56
"OTU5782","S008822",54
"OTU4946","S008822",52
"OTU14839","S008822",51
"OTU5514","S008822",53
"OTU5371","S008822",53
"OTU1393","S008822",49
"OTU4287","S008822",47
"OTU11586","S008822",46
"OTU10281","S008822",46
"OTU1090","S008822",47
"OTU4226","S008822",43
"OTU12614","S008822",1
"OTU9339","S008822",44
"OTU6171","S008822",43
"OTU14338","S008822",41
"OTU14163","S008822",43
"OTU1349","S008822",40
"OTU15312","S008822",39
"OTU8509","S008822",37
"OTU11589","S008822",38
"OTU15361","S008822",34
"OTU7334","S008822",32
"OTU8724","S008822",1
"OTU11861","S008822",32
"OTU13925","S008822",31
"OTU2011","S008822",29
"OTU1779","S008822",27
"OTU2422","S008822",26
"OTU2608","S008822",23
"OTU16383","S008822",23
"OTU2696","S008822",20
"OTU2926","S008822",19
"OTU2414","S008822",17
"OTU2395","S008822",14
"OTU17086","S008822",15
"OTU16402","S008822",14
"OTU3530","S008822",14
"OTU3378","S008822",12
"OTU3327","S008822",13
"OTU3817","S008822",12
"OTU2954","S008822",11
"OTU3834","S008822",9
"OTU3521","S008822",11
"OTU3173","S008822",11
"OTU2652","S008822",11
"OTU15821","S008822",11
"OTU4051","S008822",10
"OTU3333","S008822",9
"OTU3785","S008822",10
"OTU3547","S008822",8
"OTU4255","S008822",10
"OTU4211","S008822",9
"OTU4474","S008822",9
"OTU3663","S008822",10
"OTU3840","S008822",8
"OTU3918","S008822",9
"OTU3907","S008822",9
"OTU4463","S008822",9
"OTU4323","S008822",7
"OTU5017","S008822",8
"OTU3458","S008822",8
"OTU4758","S008822",7
"OTU3557","S008822",7
"OTU3801","S008822",8
"OTU3913","S008822",8
"OTU3844","S008822",8
"OTU3747","S008822",6
"OTU4655","S008822",6
"OTU4502","S008822",7
"OTU3630","S008822",7
"OTU6392","S008822",7
"OTU3937","S008822",7
"OTU5037","S008822",7
"OTU3744","S008822",3
"OTU5290","S008822",7
"OTU4258","S008822",7
"OTU4909","S008822",6
"OTU3755","S008822",6
"OTU5481","S008822",6
"OTU5005","S008822",5
"OTU5180","S008822",6
"OTU6030","S008822",6
"OTU5856","S008822",6
"OTU8414","S008822",6
"OTU5182","S008822",5
"OTU7232","S008822",5
"OTU7057","S008822",5
"OTU6189","S008822",3
"OTU4490","S008822",5
"OTU5047","S008822",4
"OTU12384","S008822",5
"OTU6621","S008822",5
"OTU7090","S008822",5
"OTU8844","S008822",4
"OTU5394","S008822",5
"OTU12748","S008822",4
"OTU5705","S008822",5
"OTU6981","S008822",5
"OTU5943","S008822",4
"OTU6939","S008822",4
"OTU7289","S008822",4
"OTU7020","S008822",4
"OTU5652","S008822",3
"OTU11100","S008822",4
"OTU6560","S008822",4
"OTU11341","S008822",4
"OTU4940","S008822",4
"OTU6488","S008822",4
"OTU7676","S008822",4
"OTU5762","S008822",4
"OTU9691","S008822",4
"OTU4756","S008822",4
"OTU6006","S008822",4
"OTU12797","S008822",4
"OTU12457","S008822",3
"OTU6440","S008822",3
"OTU8953","S008822",3
"OTU6350","S008822",3
"OTU14382","S008822",3
"OTU6330","S008822",2
"OTU7364","S008822",3
"OTU7366","S008822",3
"OTU6333","S008822",3
"OTU7181","S008822",3
"OTU11008","S008822",3
"OTU6139","S008822",3
"OTU6970","S008822",3
"OTU11270","S008822",3
"OTU5928","S008822",1
"OTU9084","S008822",3
"OTU12450","S008822",2
"OTU6107","S008822",3
"OTU10301","S008822",3
"OTU8650","S008822",2
"OTU12175","S008822",2
"OTU8011","S008822",2
"OTU8956","S008822",2
"OTU14695","S008822",2
"OTU7907","S008822",2
"OTU15875","S008822",2
"OTU14805","S008822",2
"OTU9449","S008822",2
"OTU16075","S008822",2
"OTU16351","S008822",2
"OTU8140","S008822",2
"OTU8174","S008822",1
"OTU16595","S008822",2
"OTU12637","S008822",2
"OTU15240","S008822",2
"OTU14680","S008822",2
"OTU11337","S008822",2
"OTU16076","S008822",2
"OTU8461","S008822",2
"OTU17036","S008822",2
"OTU9256","S008822",2
"OTU11055","S008822",2
"OTU15461","S008822",2
"OTU8327","S008822",2
"OTU10472","S008822",2
"OTU10751","S008822",1
"OTU11154","S008822",2
"OTU11137","S008822",2
"OTU11150","S008822",1
"OTU9868","S008822",2
"OTU9928","S008822",2
"OTU12476","S008822",2
"OTU11781","S008822",2
"OTU15713","S008822",2
"OTU7609","S008822",1
"OTU1","S008823",3
"OTU4","S008823",1
"OTU24","S008823",95
"OTU49","S008823",1
"OTU13","S008823",26
"OTU1687","S008823",1
"OTU42","S008823",23954
"OTU157","S008823",2
"OTU208","S008823",1
"OTU449","S008823",3
"OTU657","S008823",1
"OTU322","S008823",1
"OTU830","S008823",97
"OTU9657","S008823",1
"OTU743","S008823",1
"OTU600","S008823",1
"OTU7505","S008823",1
"OTU675","S008823",1
"OTU1064","S008823",1
"OTU8517","S008823",1
"OTU1183","S008823",1
"OTU9904","S008823",1
"OTU1058","S008823",1
"OTU928","S008823",1
"OTU1522","S008823",48
"OTU1435","S008823",1
"OTU1396","S008823",1
"OTU1422","S008823",37
"OTU1433","S008823",22
"OTU1374","S008823",1
"OTU1404","S008823",1
"OTU16471","S008823",1
"OTU1611","S008823",1
"OTU1858","S008823",1
"OTU2186","S008823",20
"OTU6007","S008823",20
"OTU3247","S008823",1
"OTU2318","S008823",1
"OTU2847","S008823",2
"OTU5082","S008823",12
"OTU2936","S008823",1
"OTU11835","S008823",7
"OTU3886","S008823",6
"OTU7419","S008823",5
"OTU7134","S008823",4
"OTU7226","S008823",3
"OTU6286","S008823",3
"OTU8824","S008823",3
"OTU13827","S008823",3
"OTU7266","S008823",3
"OTU8433","S008823",3
"OTU12288","S008823",3
"OTU5645","S008823",3
"OTU11118","S008823",3
"OTU5712","S008823",3
"OTU10184","S008823",2
"OTU12852","S008823",2
"OTU9238","S008823",2
"OTU7766","S008823",2
"OTU11473","S008823",2
"OTU7709","S008823",2
"OTU11876","S008823",2
"OTU11739","S008823",2
"OTU16743","S008823",2
"OTU11758","S008823",2
"OTU15742","S008823",2
"OTU12581","S008823",2
"OTU7840","S008823",2
"OTU16310","S008823",2
"OTU12312","S008823",2
"OTU8812","S008823",2
"OTU13306","S008823",2
"OTU14115","S008823",2
"OTU16282","S008823",2
"OTU14043","S008823",2
"OTU13695","S008823",2
"OTU14353","S008823",2
"OTU16557","S008823",2
"OTU11261","S008823",2
"OTU11309","S008823",2
"OTU15577","S008823",2
"OTU10791","S008823",2
"OTU13167","S008823",2
"OTU13471","S008823",2
"OTU16391","S008823",2
"OTU10712","S008823",2
"OTU15775","S008823",2
"OTU7983","S008823",2
"OTU12673","S008823",2
"OTU9772","S008823",2
"OTU10489","S008823",2
"OTU10549","S008823",2
"OTU9554","S008823",2
"OTU11826","S008823",2
"OTU8793","S008823",2
"OTU8550","S008823",2
"OTU8","S008828",21870
"OTU6","S008828",2
"OTU12","S008828",1
"OTU34","S008828",61
"OTU58","S008828",66
"OTU63","S008828",7
"OTU65","S008828",1
"OTU189","S008828",1
"OTU140","S008828",466
"OTU159","S008828",340
"OTU118","S008828",1
"OTU309","S008828",129
"OTU269","S008828",123
"OTU387","S008828",115
"OTU319","S008828",116
"OTU340","S008828",115
"OTU316","S008828",106
"OTU402","S008828",102
"OTU353","S008828",103
"OTU382","S008828",104
"OTU481","S008828",103
"OTU385","S008828",103
"OTU458","S008828",94
"OTU506","S008828",95
"OTU766","S008828",97
"OTU619","S008828",97
"OTU498","S008828",93
"OTU459","S008828",92
"OTU477","S008828",95
"OTU959","S008828",96
"OTU493","S008828",92
"OTU542","S008828",93
"OTU422","S008828",87
"OTU438","S008828",85
"OTU574","S008828",82
"OTU576","S008828",82
"OTU640","S008828",82
"OTU590","S008828",81
"OTU512","S008828",79
"OTU650","S008828",77
"OTU529","S008828",76
"OTU575","S008828",78
"OTU567","S008828",74
"OTU641","S008828",75
"OTU695","S008828",74
"OTU571","S008828",71
"OTU761","S008828",69
"OTU780","S008828",66
"OTU851","S008828",70
"OTU627","S008828",67
"OTU739","S008828",66
"OTU660","S008828",68
"OTU677","S008828",67
"OTU786","S008828",68
"OTU736","S008828",60
"OTU718","S008828",68
"OTU2147","S008828",68
"OTU721","S008828",63
"OTU706","S008828",61
"OTU701","S008828",65
"OTU807","S008828",65
"OTU7505","S008828",1
"OTU825","S008828",62
"OTU880","S008828",60
"OTU794","S008828",60
"OTU984","S008828",62
"OTU8839","S008828",1
"OTU810","S008828",61
"OTU835","S008828",60
"OTU911","S008828",58
"OTU858","S008828",57
"OTU896","S008828",59
"OTU952","S008828",57
"OTU1226","S008828",56
"OTU980","S008828",55
"OTU1040","S008828",55
"OTU949","S008828",56
"OTU873","S008828",54
"OTU1646","S008828",55
"OTU1068","S008828",54
"OTU1047","S008828",54
"OTU969","S008828",51
"OTU1055","S008828",51
"OTU1244","S008828",43
"OTU929","S008828",50
"OTU938","S008828",50
"OTU1165","S008828",49
"OTU1131","S008828",46
"OTU1009","S008828",47
"OTU1054","S008828",47
"OTU1134","S008828",45
"OTU1210","S008828",43
"OTU1446","S008828",42
"OTU1195","S008828",41
"OTU1312","S008828",1
"OTU1330","S008828",37
"OTU1197","S008828",38
"OTU1230","S008828",38
"OTU1847","S008828",35
"OTU1751","S008828",33
"OTU1418","S008828",33
"OTU1429","S008828",34
"OTU1295","S008828",31
"OTU1371","S008828",30
"OTU1973","S008828",20
"OTU1538","S008828",26
"OTU1836","S008828",24
"OTU1774","S008828",24
"OTU1582","S008828",25
"OTU2356","S008828",22
"OTU1817","S008828",24
"OTU1770","S008828",22
"OTU2043","S008828",20
"OTU2095","S008828",22
"OTU2249","S008828",22
"OTU2258","S008828",20
"OTU2625","S008828",18
"OTU1967","S008828",19
"OTU2030","S008828",18
"OTU1923","S008828",18
"OTU1964","S008828",17
"OTU2065","S008828",18
"OTU2420","S008828",17
"OTU2263","S008828",17
"OTU2732","S008828",16
"OTU2352","S008828",17
"OTU2955","S008828",17
"OTU2566","S008828",16
"OTU2219","S008828",16
"OTU2541","S008828",15
"OTU2282","S008828",16
"OTU2776","S008828",13
"OTU2189","S008828",16
"OTU2449","S008828",16
"OTU2680","S008828",15
"OTU2215","S008828",15
"OTU2983","S008828",14
"OTU2841","S008828",14
"OTU3105","S008828",14
"OTU3070","S008828",14
"OTU2942","S008828",12
"OTU2802","S008828",13
"OTU3035","S008828",12
"OTU2993","S008828",11
"OTU3379","S008828",12
"OTU3434","S008828",12
"OTU3156","S008828",11
"OTU3155","S008828",11
"OTU3012","S008828",10
"OTU3453","S008828",10
"OTU3281","S008828",10
"OTU4554","S008828",10
"OTU3857","S008828",9
"OTU3431","S008828",9
"OTU3252","S008828",7
"OTU3167","S008828",8
"OTU3731","S008828",7
"OTU4214","S008828",6
"OTU4402","S008828",6
"OTU5487","S008828",4
"OTU5124","S008828",4
"OTU183","S008828",1
"OTU6982","S008828",3
"OTU7325","S008828",3
"OTU6173","S008828",3
"OTU5745","S008828",3
"OTU11854","S008828",3
"OTU10812","S008828",2
"OTU9141","S008828",2
"OTU15737","S008828",2
"OTU12137","S008828",2
"OTU14214","S008828",2
"OTU16059","S008828",2
"OTU8569","S008828",2
"OTU15735","S008828",2
"OTU10030","S008828",2
"OTU13343","S008828",2
"OTU1","S008829",1
"OTU3","S008829",1
"OTU6","S008829",19357
"OTU9","S008829",1
"OTU21","S008829",1
"OTU69","S008829",1
"OTU74","S008829",4
"OTU9479","S008829",2
"OTU9657","S008829",2
"OTU13454","S008829",1
"OTU8724","S008829",1
"OTU78","S008829",1
"OTU6035","S008829",3
"OTU11954","S008829",2
"OTU7162","S008829",2
"OTU9366","S008829",1
"OTU8397","S008829",2
"OTU4899","S008829",4
"OTU6387","S008829",3
"OTU9618","S008829",1
"OTU10506","S008829",2
"OTU8991","S008829",4
"OTU6659","S008829",1
"OTU10173","S008829",1
"OTU5001","S008829",3
"OTU10663","S008829",1
"OTU6674","S008829",2
"OTU13666","S008829",1
"OTU6588","S008829",3
"OTU16627","S008829",3
"OTU10405","S008829",2
"OTU6155","S008829",3
"OTU11193","S008829",2
"OTU6913","S008829",1
"OTU13335","S008829",1
"OTU5958","S008829",2
"OTU16977","S008829",2
"OTU13272","S008829",1
"OTU12443","S008829",3
"OTU5796","S008829",2
"OTU7450","S008829",1
"OTU8249","S008829",3
"OTU15118","S008829",3
"OTU9059","S008829",2
"OTU7306","S008829",2
"OTU6222","S008829",2
"OTU15490","S008829",1
"OTU14551","S008829",1
"OTU10021","S008829",1
"OTU17125","S008829",1
"OTU10211","S008829",3
"OTU16778","S008829",2
"OTU15601","S008829",2
"OTU12306","S008829",2
"OTU16814","S008829",1
"OTU9012","S008829",1
"OTU15422","S008829",1
"OTU9180","S008829",2
"OTU3629","S008829",2
"OTU13428","S008829",1
"OTU10336","S008829",1
"OTU11815","S008829",2
"OTU9939","S008829",2
"OTU9307","S008829",2
"OTU13250","S008829",2
"OTU16849","S008829",1
"OTU11196","S008829",2
"OTU14732","S008829",1
"OTU16661","S008829",1
"OTU10810","S008829",1
"OTU16416","S008829",1
"OTU8429","S008829",2
"OTU11819","S008829",1
"OTU13660","S008829",1
"OTU16568","S008829",1
"OTU15842","S008829",2
"OTU14199","S008829",2
"OTU13750","S008829",2
"OTU13995","S008829",1
"OTU17004","S008829",1
"OTU11497","S008829",1
"OTU16248","S008829",2
"OTU16945","S008829",1
"OTU12271","S008829",2
"OTU13573","S008829",1
"OTU9289","S008829",2
"OTU16047","S008829",2
"OTU11274","S008829",2
"OTU15382","S008829",1
"OTU11291","S008829",1
"OTU10096","S008829",2
"OTU9003","S008829",1
"OTU15537","S008829",1
"OTU8197","S008829",2
"OTU11687","S008829",1
"OTU9883","S008829",1
"OTU10071","S008829",1
"OTU10743","S008829",2
"OTU9413","S008829",1
"OTU10736","S008829",1
"OTU12688","S008829",2
"OTU14949","S008829",2
"OTU7751","S008829",2
"OTU14051","S008829",1
"OTU15381","S008829",1
"OTU10227","S008829",2
"OTU10208","S008829",2
"OTU16791","S008829",1
"OTU13141","S008829",2
"OTU15598","S008829",1
"OTU10182","S008829",1
"OTU15195","S008829",1
"OTU7972","S008829",1
"OTU10646","S008829",2
"OTU9199","S008829",2
"OTU1","S008830",19948
"OTU3","S008830",1
"OTU28","S008830",2
"OTU37","S008830",1
"OTU44","S008830",1
"OTU45","S008830",1
"OTU52","S008830",41
"OTU110","S008830",345
"OTU168","S008830",117
"OTU200","S008830",53
"OTU211","S008830",43
"OTU217","S008830",38
"OTU224","S008830",46
"OTU215","S008830",40
"OTU233","S008830",44
"OTU250","S008830",33
"OTU289","S008830",34
"OTU221","S008830",36
"OTU214","S008830",41
"OTU235","S008830",31
"OTU297","S008830",42
"OTU429","S008830",18
"OTU240","S008830",36
"OTU238","S008830",23
"OTU279","S008830",30
"OTU237","S008830",40
"OTU241","S008830",41
"OTU242","S008830",41
"OTU251","S008830",42
"OTU336","S008830",28
"OTU291","S008830",30
"OTU524","S008830",23
"OTU265","S008830",39
"OTU286","S008830",33
"OTU397","S008830",20
"OTU243","S008830",38
"OTU308","S008830",26
"OTU327","S008830",36
"OTU315","S008830",30
"OTU275","S008830",12
