"OTU.ID","Sample","Reads"
"OTU95","S009007",351
"OTU297","S009007",1
"OTU281","S009007",3
"OTU497","S009007",1
"OTU366","S009007",3
"OTU420","S009007",5
"OTU339","S009007",1
"OTU424","S009007",1
"OTU671","S009007",1
"OTU361","S009007",1
"OTU446","S009007",3
"OTU434","S009007",1
"OTU405","S009007",1
"OTU305","S009007",1
"OTU198","S009007",109
"OTU551","S009007",1
"OTU380","S009007",2
"OTU195","S009007",93
"OTU532","S009007",1
"OTU872","S009007",1
"OTU318","S009007",5
"OTU493","S009007",3
"OTU20","S009007",1
"OTU38","S009007",3
"OTU56","S009037",2926
"OTU297","S009037",3
"OTU281","S009037",5
"OTU497","S009037",2
"OTU420","S009037",2
"OTU632","S009037",1
"OTU671","S009037",3
"OTU361","S009037",4
"OTU446","S009037",1
"OTU434","S009037",3
"OTU405","S009037",4
"OTU556","S009037",2
"OTU417","S009037",1
"OTU551","S009037",1
"OTU380","S009037",1
"OTU465","S009037",3
"OTU532","S009037",2
"OTU523","S009037",1
"OTU559","S009037",7
"OTU483","S009037",2
"OTU678","S009037",5
"OTU9","S009099",8
"OTU17","S009099",4
"OTU10","S009099",1
"OTU68","S009099",555
"OTU77","S009099",1
"OTU297","S009099",2
"OTU281","S009099",2
"OTU497","S009099",1
"OTU420","S009099",1
"OTU339","S009099",2
"OTU424","S009099",1
"OTU671","S009099",1
"OTU446","S009099",2
"OTU434","S009099",1
"OTU405","S009099",1
"OTU380","S009099",1
"OTU532","S009099",1
"OTU523","S009099",1
"OTU872","S009099",1
"OTU32","S009099",2
"OTU27","S009099",10
"OTU37","S009016",2537
"OTU127","S009016",2608
"OTU297","S009016",2
"OTU497","S009016",2
"OTU420","S009016",1
"OTU632","S009016",1
"OTU671","S009016",1
"OTU361","S009016",2
"OTU434","S009016",2
"OTU405","S009016",1
"OTU417","S009016",3
"OTU380","S009016",1
"OTU523","S009016",1
"OTU435","S009016",6
"OTU656","S009016",2
"OTU88","S008895",987
"OTU497","S008895",1
"OTU671","S008895",3
"OTU405","S008895",1
"OTU556","S008895",1
"OTU305","S008895",1
"OTU417","S008895",3
"OTU380","S008895",1
"OTU532","S008895",2
"OTU523","S008895",1
"OTU474","S008895",8
"OTU25","S008895",1
"OTU802","S008895",1
"OTU297","S009001",3
"OTU281","S009001",1
"OTU497","S009001",3
"OTU366","S009001",2
"OTU420","S009001",1
"OTU339","S009001",1
"OTU632","S009001",2
"OTU424","S009001",1
"OTU446","S009001",1
"OTU434","S009001",1
"OTU305","S009001",1
"OTU551","S009001",1
"OTU465","S009001",1
"OTU910","S009001",1
"OTU523","S009001",1
"OTU609","S009001",1
"OTU574","S009001",8
"OTU52","S009001",996
"OTU302","S009001",6
"OTU235","S009001",8
"OTU315","S009001",4
"OTU233","S009001",18
"OTU281","S009006",2
"OTU497","S009006",1
"OTU366","S009006",2
"OTU420","S009006",1
"OTU632","S009006",2
"OTU424","S009006",1
"OTU671","S009006",2
"OTU446","S009006",1
"OTU434","S009006",5
"OTU305","S009006",2
"OTU417","S009006",1
"OTU551","S009006",1
"OTU532","S009006",1
"OTU523","S009006",1
"OTU429","S009006",1
"OTU812","S009006",1
"OTU139","S009006",31
"OTU297","S008897",1
"OTU281","S008897",1
"OTU420","S008897",2
"OTU632","S008897",1
"OTU424","S008897",1
"OTU671","S008897",1
"OTU446","S008897",3
"OTU405","S008897",1
"OTU380","S008897",2
"OTU465","S008897",1
"OTU523","S008897",1
"OTU429","S008897",1
"OTU812","S008897",1
"OTU46","S008897",1759
"OTU247","S008897",34
"OTU592","S008897",5
"OTU386","S008897",5
"OTU828","S008897",3
"OTU649","S008897",2
"OTU696","S008897",2
"OTU30","S009017",1760
"OTU54","S009017",1317
